,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,DirecFTion,SensorFTime,FTime,Label
0,0,0,0,15.75,-108.5,-28.69,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,565740,0,FT
1,0,0,0,15.75,-108.5,-28.69,-9.24,-3,0.2,-0.71,0.01,0.67,0.24,565781,41,FT
2,0,0,0,15.75,-108.5,-28.69,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,565821,81,FT
3,0,0,0,15.44,-108.88,-29.13,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,565863,123,FT
4,0,0,0,15.44,-108.88,-29.13,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,565905,165,FT
5,0,0,0,15.44,-108.88,-29.13,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,565947,207,FT
6,0,0,0,15.44,-108.88,-29.13,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,565989,249,FT
7,0,0,0,15.44,-108.88,-29.13,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,566030,290,FT
8,0,0,0,15.44,-108.88,-29.13,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,566070,330,FT
9,0,0.02,-0.01,15.44,-108.88,-29.13,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,566111,371,FT
10,0,0.02,-0.01,15.44,-108.88,-29.13,-9.24,-3.04,0.16,-0.71,0.01,0.67,0.24,566154,414,FT
11,0,0.01,-0.01,15.44,-108.88,-29.13,-9.24,-3.04,0.16,-0.71,0.01,0.67,0.24,566196,456,FT
12,0,0.01,-0.01,15.44,-108.88,-29.13,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,566239,499,FT
13,0,0.01,-0.01,15.44,-108.88,-29.13,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,566281,541,FT
14,0,0.01,-0.01,15.44,-108.88,-29.13,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,566321,581,FT
15,0,0.01,-0.01,7.38,-109.88,-16.56,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,566363,623,FT
16,0,0.01,-0.01,7.38,-109.88,-16.56,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,566405,665,FT
17,0,0.01,-0.01,7.38,-109.88,-16.56,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,566446,706,FT
18,0,0.01,-0.01,7.38,-109.88,-16.56,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,566489,749,FT
19,0,0.01,-0.01,7.38,-109.88,-16.56,-9.2,-3.08,0.08,-0.71,0.01,0.67,0.24,566530,790,FT
20,0,0.01,-0.01,7.38,-109.88,-16.56,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,566569,829,FT
21,0,-0.01,0,7.38,-109.88,-16.56,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,566610,870,FT
22,0,-0.01,0,7.38,-109.88,-16.56,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,566651,911,FT
23,0,0,0,7.38,-109.88,-16.56,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,566693,953,FT
24,0,0,0,7.38,-109.88,-16.56,-9.24,-3.08,0.08,-0.71,0.01,0.67,0.24,566734,994,FT
25,0,0,0,7.38,-109.88,-16.56,-9.24,-3.04,0.08,-0.71,0.01,0.67,0.24,566776,1036,FT
26,0,0,0,7.38,-109.88,-16.56,-9.24,-3.04,0.08,-0.71,0.01,0.67,0.24,566816,1076,FT
27,0,0,0,7.38,-109.88,-16.56,-9.24,-3.04,0.08,-0.71,0.01,0.67,0.24,566857,1117,FT
28,0,0,0,7.38,-109.88,-16.56,-9.24,-3.08,0.08,-0.71,0.01,0.67,0.24,566899,1159,FT
29,0.01,0.01,-0.01,7.38,-109.88,-16.56,-9.24,-3.08,0.08,-0.71,0.01,0.67,0.24,566940,1200,FT
30,0.01,0.01,-0.01,7.38,-109.88,-16.56,-9.24,-3.08,0.08,-0.71,0.01,0.67,0.24,566980,1240,FT
31,0.01,0.01,-0.01,7.38,-109.88,-16.56,-9.2,-3.08,0.08,-0.71,0.01,0.67,0.24,567021,1281,FT
32,0.01,0.01,-0.01,7.75,-109.56,-16.56,-9.2,-3.08,0.08,-0.71,0.01,0.67,0.24,567062,1322,FT
33,0,0,0,7.75,-109.56,-16.56,-9.2,-3.08,0.08,-0.71,0.01,0.67,0.24,567103,1363,FT
34,0,0,0,7.75,-109.56,-16.56,-9.24,-3.08,0.08,-0.71,0.01,0.67,0.24,567145,1405,FT
