,Xg,Yg,Zg,Xm,Ym,Zm
0,-0.02,1.10,-3.16,12.44,-5.12,-4.31
1,-0.09,0.67,-3.43,12.44,-5.12,-4.31
2,-0.09,0.67,-3.43,13.88,-2.87,-4.69
3,-0.17,0.46,-3.51,13.88,-2.87,-4.69
4,-0.17,0.46,-3.51,17.19,0.69,-4.69
5,-0.29,0.56,-3.40,17.19,0.69,-4.69
6,-0.29,0.56,-3.40,18.69,4.00,-3.12
7,-0.18,1.10,-3.21,18.69,4.00,-3.12
8,-0.18,1.10,-3.21,20.12,6.56,-3.12
9,0.30,-0.30,-3.09,20.12,6.56,-3.12
10,0.30,-0.30,-3.09,19.75,9.88,-2.75
11,0.09,-1.19,-3.12,19.75,9.88,-2.75
12,0.09,-1.19,-3.12,20.12,13.88,-3.12
13,-0.76,-0.23,-2.57,20.12,13.88,-3.12
14,-0.76,-0.23,-2.57,17.94,16.50,-4.31
15,-0.50,0.30,-2.36,17.94,16.50,-4.31
16,-0.50,0.30,-2.36,16.50,19.37,-3.94
17,-0.17,0.24,-2.40,16.50,19.37,-3.94
18,-0.17,0.24,-2.40,15.00,22.31,-3.94
19,0.88,-0.02,-2.84,15.00,22.31,-3.94
20,0.88,-0.02,-2.84,12.44,22.31,-5.06
21,0.00,-0.90,-2.60,12.44,22.31,-5.06
22,0.00,-0.90,-2.60,8.75,25.25,-3.12
23,-1.54,0.46,-1.76,8.75,25.25,-3.12
24,-1.54,0.46,-1.76,6.56,26.00,-4.69
25,0.17,1.99,-2.31,6.56,26.00,-4.69
26,0.17,1.99,-2.31,7.31,28.19,-2.31
27,0.44,0.36,-1.60,7.31,28.19,-2.31
28,0.44,0.36,-1.60,5.81,29.31,-3.12
29,-0.37,-0.22,-2.45,5.81,29.31,-3.12
30,-0.37,-0.22,-2.45,3.25,28.94,-3.50
31,-0.68,0.54,-2.80,3.25,28.94,-3.50
32,-0.68,0.54,-2.80,0.31,30.44,-1.56
33,0.11,1.17,-3.00,0.31,30.44,-1.56
34,0.11,1.17,-3.00,-3.25,28.94,-1.56
35,-0.82,0.32,-2.84,-3.25,28.94,-1.56
36,-0.82,0.32,-2.84,-4.75,29.69,-2.31
37,-0.91,-1.23,-2.68,-4.75,29.69,-2.31
38,-0.91,-1.23,-2.68,-8.38,28.94,-0.37
39,-0.67,-1.49,-1.87,-8.38,28.94,-0.37
40,-0.67,-1.49,-1.87,-12.06,28.19,0.75
41,0.61,1.14,-1.62,-12.06,28.19,0.75
42,0.61,1.14,-1.62,-13.19,27.12,0.75
43,0.17,1.09,-1.50,-13.19,27.12,0.75
44,0.17,1.09,-1.50,-14.63,24.56,-1.56
45,-0.22,0.00,-2.26,-14.63,24.56,-1.56
46,-0.22,0.00,-2.26,-15.75,24.56,-1.56
47,-0.26,-0.21,-2.70,-15.75,24.56,-1.56
48,-0.26,-0.21,-2.70,-17.19,20.50,-0.37
49,-0.61,-0.61,-0.75,-17.19,20.50,-0.37
50,-0.61,-0.61,-0.75,-20.12,19.06,0.75
51,0.64,1.08,-2.37,-20.12,19.06,0.75
52,0.64,1.08,-2.37,-19.06,16.50,-1.12
53,-0.08,0.42,-2.65,-19.06,16.50,-1.12
