,Xg,Yg,Zg,Xm,Ym,Zm
0,0.23,-0.21,-0.44,1.50,-30.50,36.75
1,0.23,-0.21,-0.39,-1.50,-30.50,36.75
2,0.23,-0.21,-0.39,0.31,-28.87,37.13
3,0.19,-0.25,-0.26,0.31,-28.87,37.13
4,0.19,-0.25,-0.26,0.19,-29.94,38.50
5,0.16,-0.25,-0.21,0.19,-29.94,38.50
6,0.16,-0.25,-0.21,-0.13,-31.37,38.94
7,0.18,-0.21,-0.12,-0.13,-31.37,38.94
8,0.18,-0.21,-0.12,0.69,-29.44,38.88
9,0.12,-0.20,0.05,0.69,-29.44,38.88
10,0.12,-0.20,0.05,0.75,-29.31,38.25
11,-0.03,-0.18,0.04,0.75,-29.31,38.25
12,-0.03,-0.18,0.04,1.06,-29.75,37.25
13,-0.03,-0.12,0.04,1.06,-29.75,37.25
14,-0.03,-0.12,0.04,0.06,-31.87,40.19
15,-0.02,-0.06,0.04,0.06,-31.87,40.19
16,-0.02,-0.06,0.04,0.13,-30.87,39.25
17,-0.09,-0.06,0.00,0.13,-30.87,39.25
18,-0.09,-0.06,0.00,0.62,-30.37,39.69
19,-0.11,-0.00,-0.01,0.62,-30.37,39.69
20,-0.11,-0.00,-0.01,0.56,-31.62,40.56
21,-0.12,0.01,0.05,0.56,-31.62,40.56
22,-0.12,0.01,0.05,0.94,-31.06,38.69
23,-0.10,0.04,0.07,0.94,-31.06,38.69
24,-0.10,0.04,0.07,1.25,-29.62,38.25
25,-0.10,0.04,0.13,1.25,-29.62,38.25
26,-0.10,0.04,0.13,-0.88,-30.50,38.31
27,-0.07,0.06,0.06,-0.88,-30.50,38.31
28,-0.07,0.06,0.06,0.31,-30.00,36.94
29,-0.06,0.06,-0.01,0.31,-30.00,36.94
30,-0.06,0.06,-0.01,1.00,-30.44,38.00
31,-0.03,0.06,-0.01,1.00,-30.44,38.00
32,-0.03,0.06,-0.01,1.56,-28.81,34.75
33,0.04,0.03,0.00,1.56,-28.81,34.75
34,0.04,0.03,0.00,1.31,-32.44,37.94
35,0.11,-0.03,-0.03,1.31,-32.44,37.94
36,0.11,-0.03,-0.03,0.06,-31.12,37.31
37,0.09,-0.09,0.03,0.06,-31.12,37.31
38,0.09,-0.09,0.03,0.75,-29.81,37.88
39,0.11,-0.09,0.04,0.75,-29.81,37.88
40,0.11,-0.09,0.04,0.44,-30.25,38.56
41,0.15,-0.07,-0.06,0.44,-30.25,38.56
42,0.15,-0.07,-0.06,-0.44,-30.94,39.50
43,0.19,-0.00,-0.20,-0.44,-30.94,39.50
44,0.19,-0.00,-0.20,0.44,-29.94,38.44
45,-0.01,-0.09,-0.24,0.44,-29.94,38.44
46,-0.01,-0.09,-0.24,0.44,-29.94,38.44
47,-0.15,0.02,-0.40,0.44,-29.94,38.44
48,-0.15,0.02,-0.40,1.00,-28.25,38.50
49,-0.27,-0.11,-0.43,1.00,-28.25,38.50
50,-0.27,-0.11,-0.43,1.75,-31.62,38.69
51,-0.39,-0.45,-0.21,1.75,-31.62,38.69
52,-0.39,-0.45,-0.21,3.37,-30.37,35.44
53,-0.07,-0.48,-0.05,3.37,-30.37,35.44
54,-0.07,-0.48,-0.05,2.50,-28.75,36.25
55,0.25,-0.29,-0.10,2.50,-28.75,36.25
56,0.25,-0.29,-0.10,3.31,-31.50,35.75
57,0.41,-0.19,-0.06,3.31,-31.50,35.75
58,0.41,-0.19,-0.06,3.50,-31.44,37.31
59,0.27,-0.20,0.07,3.50,-31.44,37.31
60,0.27,-0.20,0.07,2.81,-30.25,38.69
61,0.18,-0.06,0.04,2.81,-30.25,38.69
62,0.18,-0.06,0.04,3.06,-29.12,38.94
63,-0.03,-0.29,0.24,3.06,-29.12,38.94
64,-0.03,-0.29,0.24,1.62,-30.75,40.13
65,-0.41,-0.46,0.31,1.62,-30.75,40.13
66,-0.41,-0.46,0.31,2.25,-30.81,38.94
67,0.11,0.30,-0.11,2.25,-30.81,38.94
68,0.11,0.30,-0.11,0.56,-31.87,40.06
69,-0.14,-0.21,0.16,0.56,-31.87,40.06
70,-0.14,-0.21,0.16,1.62,-33.69,40.94
71,0.09,-0.14,0.14,1.62,-33.69,40.94
72,0.09,-0.14,0.14,0.13,-32.06,39.69
73,0.25,0.07,0.04,0.13,-32.06,39.69
74,0.25,0.07,0.04,1.37,-32.44,40.13
75,0.35,0.23,-0.07,1.37,-32.44,40.13
76,0.35,0.23,-0.07,0.88,-32.13,40.13
77,0.17,0.07,-0.14,0.88,-32.13,40.13
78,0.17,0.07,-0.14,0.31,-36.94,43.63
79,0.06,-0.09,-0.12,0.31,-36.94,43.63
80,0.06,-0.09,-0.12,-0.44,-32.00,42.94
81,0.04,-0.16,-0.10,-0.44,-32.00,42.94
82,0.04,-0.16,-0.10,-0.06,-32.69,41.94
83,0.13,-0.18,-0.11,-0.06,-32.69,41.94
84,0.13,-0.18,-0.11,0.19,-35.31,42.06
85,0.11,-0.19,0.14,0.19,-35.31,42.06
86,0.11,-0.19,0.14,-0.69,-34.25,43.06
87,-0.02,-0.27,-0.47,-0.69,-34.25,43.06
88,-0.02,-0.27,-0.47,-1.31,-34.69,43.81
89,-0.06,-0.49,-0.38,-1.31,-34.69,43.81
90,-0.06,-0.49,-0.38,-0.13,-35.88,42.31
91,0.33,-0.39,-0.61,-0.13,-35.88,42.31
92,0.33,-0.39,-0.61,1.50,-34.69,41.69
93,0.64,-0.59,-0.55,1.50,-34.69,41.69
94,0.64,-0.59,-0.55,0.94,-35.19,45.25
95,0.47,-0.54,-0.34,0.94,-35.19,45.25
96,0.47,-0.54,-0.34,1.06,-36.00,47.00
97,0.11,-0.42,-0.29,1.06,-36.00,47.00
98,0.11,-0.42,-0.29,3.25,-35.69,46.56
99,-0.10,-0.28,-0.27,3.25,-35.69,46.56
100,-0.10,-0.28,-0.27,2.69,-34.56,46.88
101,-0.05,-0.26,0.03,2.69,-34.56,46.88
102,-0.05,-0.26,0.03,1.37,-35.94,46.38
103,0.02,-0.12,-0.01,1.37,-35.94,46.38
104,0.02,-0.12,-0.01,2.62,-33.94,44.56
105,0.03,0.02,0.08,2.62,-33.94,44.56
106,0.03,0.02,0.08,1.81,-36.63,47.56
