,Xg,Yg,Zg,Xm,Ym,Zm
0,0.18,-0.31,-0.22,-11.38,0.37,0.13
1,0.18,-0.31,-0.22,-11.00,-0.69,1.37
2,-0.03,-0.58,0.03,-11.00,-0.69,1.37
3,-0.03,-0.58,0.03,-10.94,0.50,1.06
4,0.23,-0.62,0.21,-10.94,0.50,1.06
5,0.23,-0.62,0.21,-11.56,-0.25,2.50
6,0.60,-0.29,-0.11,-11.56,-0.25,2.50
7,0.60,-0.29,-0.11,-11.69,-2.69,3.62
8,-0.10,-0.75,0.11,-11.69,-2.69,3.62
9,-0.10,-0.75,0.11,-12.31,-1.44,4.56
10,-0.39,-0.31,-0.13,-12.31,-1.44,4.56
11,-0.39,-0.31,-0.13,-12.94,-1.06,6.12
12,-0.07,-0.12,-0.12,-12.94,-1.06,6.12
13,-0.07,-0.12,-0.12,-12.56,0.50,4.62
14,0.17,0.12,-0.38,-12.56,0.50,4.62
15,0.17,0.12,-0.38,-12.13,-1.87,5.69
16,-0.01,-0.09,-0.36,-12.13,-1.87,5.69
17,-0.01,-0.09,-0.36,-12.50,-1.44,6.69
18,0.04,0.09,-0.39,-12.50,-1.44,6.69
19,0.04,0.09,-0.39,-12.81,-5.25,7.75
20,0.25,0.32,-0.15,-12.81,-5.25,7.75
21,0.25,0.32,-0.15,-11.88,-4.37,5.81
22,0.13,0.36,0.00,-11.88,-4.37,5.81
23,0.13,0.36,0.00,-10.63,-2.56,6.62
24,-0.05,0.46,0.04,-10.63,-2.56,6.62
25,-0.05,0.46,0.04,-11.06,-3.31,5.87
26,-0.25,0.22,0.23,-11.06,-3.31,5.87
27,-0.25,0.22,0.23,-10.44,-2.00,4.94
28,-0.32,0.22,0.32,-10.44,-2.00,4.94
29,-0.32,0.22,0.32,-10.69,-1.69,4.25
30,-0.21,0.28,0.34,-10.69,-1.69,4.25
31,-0.21,0.28,0.34,-10.13,-1.06,4.12
32,-0.08,0.24,0.33,-10.13,-1.06,4.12
33,-0.08,0.24,0.33,-9.63,-0.94,1.31
34,0.02,0.30,0.23,-9.63,-0.94,1.31
35,0.02,0.30,0.23,-10.25,-0.81,2.44
36,-0.21,0.16,0.41,-10.25,-0.81,2.44
37,-0.21,0.16,0.41,-10.56,0.50,2.62
38,-0.10,0.33,0.11,-10.56,0.50,2.62
39,-0.10,0.33,0.11,-9.56,0.06,0.44
40,-0.12,-0.02,0.35,-9.56,0.06,0.44
41,-0.12,-0.02,0.35,-8.94,0.81,2.25
42,-0.13,-0.29,0.46,-8.94,0.81,2.25
43,-0.13,-0.29,0.46,-9.19,1.50,1.62
44,0.19,-0.13,0.32,-9.19,1.50,1.62
45,0.19,-0.13,0.32,-8.69,2.50,2.31
46,0.32,0.35,0.08,-8.69,2.50,2.31
47,0.32,0.35,0.08,-9.50,2.44,3.06
48,-0.13,0.42,-0.02,-9.50,2.44,3.06
49,-0.13,0.42,-0.02,-8.75,0.37,0.19
50,-0.42,0.29,-0.03,-8.75,0.37,0.19
51,-0.42,0.29,-0.03,-8.38,1.75,1.94
52,0.01,0.19,-0.00,-8.38,1.75,1.94
53,0.01,0.19,-0.00,-7.94,2.87,-0.06
54,0.35,0.07,0.03,-7.94,2.87,-0.06
55,0.35,0.07,0.03,-7.69,2.31,0.00
56,0.09,0.15,-0.13,-7.69,2.31,0.00
57,0.09,0.15,-0.13,-6.62,3.69,0.13
58,-0.26,0.12,-0.11,-6.62,3.69,0.13
59,-0.26,0.12,-0.11,-6.75,2.81,-1.81
60,-0.33,0.06,-0.09,-6.75,2.81,-1.81
61,-0.33,0.06,-0.09,-6.81,4.19,-1.12
62,-0.04,-0.17,-0.17,-6.81,4.19,-1.12
63,-0.04,-0.17,-0.17,-6.62,3.12,0.25
64,0.06,-0.43,-0.14,-6.62,3.12,0.25
65,0.06,-0.43,-0.14,-6.87,3.50,-0.44
66,-0.12,-0.67,-0.13,-6.87,3.50,-0.44
67,-0.12,-0.67,-0.13,-7.25,3.94,0.62
68,0.20,-0.05,-0.57,-7.25,3.94,0.62
69,0.20,-0.05,-0.57,-7.06,1.69,2.25
70,0.39,-0.43,0.22,-7.06,1.69,2.25
71,0.39,-0.43,0.22,-6.56,1.62,2.81
72,0.09,-0.56,0.34,-6.56,1.62,2.81
73,0.09,-0.56,0.34,-8.00,2.06,3.94
74,-0.22,-0.40,-0.07,-8.00,2.06,3.94
75,-0.22,-0.40,-0.07,-7.69,0.31,3.87
76,-0.24,0.07,-0.57,-7.69,0.31,3.87
77,-0.24,0.07,-0.57,-6.75,1.31,5.00
78,-0.05,0.22,-0.39,-6.75,1.31,5.00
79,-0.05,0.22,-0.39,-6.81,3.37,2.37
80,0.07,0.23,-0.10,-6.81,3.37,2.37
81,0.07,0.23,-0.10,-6.50,1.87,4.81
82,0.01,0.07,0.01,-6.50,1.87,4.81
83,0.01,0.07,0.01,-6.50,1.00,5.06
84,0.09,-0.01,0.00,-6.50,1.00,5.06
85,0.09,-0.01,0.00,-5.94,-0.25,7.44
86,0.13,0.07,0.05,-5.94,-0.25,7.44
87,0.13,0.07,0.05,-5.06,1.19,3.69
88,0.00,0.08,0.29,-5.06,1.19,3.69
89,0.00,0.08,0.29,-5.31,0.50,6.62
90,-0.14,0.20,0.46,-5.31,0.50,6.62
91,-0.14,0.20,0.46,-4.69,1.56,5.19
92,-0.24,0.13,0.64,-4.69,1.56,5.19
93,-0.24,0.13,0.64,-4.81,1.31,6.87
94,-0.21,0.75,-0.23,-4.81,1.31,6.87
95,-0.21,0.75,-0.23,-4.75,-0.31,6.25
