,Xg,Yg,Zg,Xm,Ym,Zm
0,0.21,1.30,3.56,11.38,10.69,2.12
1,0.21,1.30,3.56,11.63,8.50,2.19
2,0.73,0.72,2.65,11.63,8.50,2.19
3,0.73,0.72,2.65,12.06,4.62,6.94
4,-0.35,-0.13,1.61,12.06,4.62,6.94
5,-0.35,-0.13,1.61,11.50,3.37,4.06
6,-0.43,-0.48,1.17,11.50,3.37,4.06
7,-0.43,-0.48,1.17,10.75,1.56,6.87
8,-0.62,-0.65,1.17,10.75,1.56,6.87
9,-0.62,-0.65,1.17,10.31,1.94,5.75
10,-0.57,-0.62,0.87,10.31,1.94,5.75
11,-0.57,-0.62,0.87,9.06,-0.37,4.94
12,0.36,-0.39,1.05,9.06,-0.37,4.94
13,0.36,-0.39,1.05,8.94,0.37,3.12
14,0.51,0.62,0.47,8.94,0.37,3.12
15,0.51,0.62,0.47,7.87,-0.37,6.81
16,0.60,0.79,1.06,7.87,-0.37,6.81
17,0.60,0.79,1.06,7.19,-2.25,7.94
18,0.46,1.07,0.67,7.19,-2.25,7.94
19,0.46,1.07,0.67,7.87,-4.25,10.00
20,0.14,0.88,0.62,7.87,-4.25,10.00
21,0.14,0.88,0.62,8.38,-4.87,10.06
22,-0.16,0.77,0.33,8.38,-4.87,10.06
23,-0.16,0.77,0.33,8.00,-5.87,11.50
24,-0.39,0.41,-0.06,8.00,-5.87,11.50
25,-0.39,0.41,-0.06,8.75,-3.69,11.88
26,-0.23,-0.29,-0.82,8.75,-3.69,11.88
27,-0.23,-0.29,-0.82,9.19,-2.87,9.94
28,-0.17,-0.99,-1.49,9.19,-2.87,9.94
29,-0.17,-0.99,-1.49,9.69,-0.62,9.75
30,0.68,-1.76,-2.14,9.69,-0.62,9.75
31,0.68,-1.76,-2.14,9.94,-0.25,7.50
32,-0.31,-2.36,-1.68,9.94,-0.25,7.50
33,-0.31,-2.36,-1.68,9.63,1.06,4.50
34,-0.39,-1.70,-2.08,9.63,1.06,4.50
35,-0.39,-1.70,-2.08,9.13,2.87,1.37
36,-0.86,-0.37,-2.34,9.13,2.87,1.37
37,-0.86,-0.37,-2.34,9.13,4.12,1.06
38,-0.66,0.99,-3.06,9.13,4.12,1.06
39,-0.66,0.99,-3.06,8.94,6.69,0.44
40,-1.47,1.56,-2.96,8.94,6.69,0.44
41,-1.47,1.56,-2.96,10.00,10.81,-0.37
42,-0.37,1.69,-3.08,10.00,10.81,-0.37
43,-0.37,1.69,-3.08,9.94,11.81,0.50
44,0.18,0.86,-1.75,9.94,11.81,0.50
45,0.18,0.86,-1.75,11.25,14.63,0.62
46,0.90,1.29,-1.38,11.25,14.63,0.62
47,0.90,1.29,-1.38,11.00,12.19,4.00
48,1.21,1.43,-2.68,11.00,12.19,4.00
49,1.21,1.43,-2.68,11.25,16.50,3.37
50,0.03,-0.72,-0.98,11.25,16.50,3.37
51,0.03,-0.72,-0.98,11.38,14.94,2.12
52,-0.10,-0.87,-0.10,11.38,14.94,2.12
53,-0.10,-0.87,-0.10,10.13,18.81,1.31
