,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31
0,131,107,102,107,104,108,37,46,98,34,39,43,103,104,102,35,38,44,38,34,28,32,24,85,97,96,23,89,20,18,22,85
1,83,26,87,91,38,37,39,42,108,105,106,47,120,45,56,104,106,44,109,45,107,101,99,41,36,41,96,40,104,32,37,37
2,57,129,129,133,63,132,129,130,132,130,133,128,130,130,139,62,136,130,62,133,128,62,129,132,131,146,61,193,56,121,123,127
3,128,129,53,60,61,62,128,130,63,131,61,133,58,130,55,135,53,128,129,128,128,62,132,128,129,129,61,132,130,128,63,128
4,22,22,12,14,15,18,20,17,17,16,19,17,21,19,24,25,20,18,16,20,22,24,39,27,38,33,43,38,47,49,50,59
5,50,44,39,37,38,48,45,35,38,38,39,41,42,48,56,51,57,51,55,49,52,57,60,61,1,61,12,74,79,76,90,25
6,24,24,21,26,25,85,25,28,39,98,33,101,23,33,39,44,30,94,43,31,100,106,107,101,100,103,39,106,43,47,46,47
7,35,35,38,30,103,41,50,113,52,113,110,116,50,118,47,52,38,53,43,44,35,46,59,124,110,51,48,59,51,51,49,57
8,26,27,98,43,35,99,33,29,30,29,31,95,37,42,34,39,40,41,34,35,35,37,43,36,54,97,97,117,35,104,38,36
9,19,22,31,33,30,94,25,89,22,22,20,90,25,94,87,89,85,88,38,18,27,90,96,91,91,87,27,28,20,23,24,30
10,8,123,120,126,123,194,131,63,192,62,193,129,129,129,132,62,125,114,120,121,126,120,196,58,125,121,124,125,125,127,123,192
11,60,131,134,132,133,59,200,56,194,129,128,131,131,131,61,196,131,130,130,60,192,63,192,128,128,130,61,194,129,55,119,117
12,36,83,20,87,29,92,85,87,87,25,85,80,81,16,81,17,25,22,23,23,22,92,97,29,29,24,34,39,46,96,94,97
13,31,130,129,55,126,194,139,132,133,129,139,129,131,62,197,128,133,134,132,138,128,141,56,197,61,124,126,120,124,197,62,202
14,35,29,33,32,97,36,39,31,27,35,36,30,28,30,28,31,36,29,29,37,27,31,26,35,35,37,33,99,36,37,37,46
15,18,211,56,205,57,202,128,132,63,194,128,63,196,128,131,130,129,141,61,192,63,126,121,126,123,192,134,128,63,199,128,136
16,29,31,37,31,30,100,29,91,26,30,41,99,36,96,19,91,82,83,22,21,29,25,87,91,88,102,46,101,36,23,27,30
17,43,134,140,137,138,132,128,142,135,130,136,151,132,159,157,57,121,129,57,58,120,125,120,113,107,43,46,50,115,44,96,37
18,39,37,33,96,33,101,87,102,24,25,24,88,29,86,21,25,28,24,24,84,23,22,25,38,30,94,30,37,40,35,26,30
19,59,99,37,41,103,35,40,35,37,38,45,33,101,40,98,39,42,32,97,32,29,89,20,91,91,23,29,21,76,17,14,12
20,41,4,6,18,17,4,74,1,127,58,3,7,125,1,68,2,124,,66,8,2,3,11,4,2,77,12,18,9,73,82,77
21,16,79,11,73,69,2,66,1,7,65,60,3,127,63,56,52,53,45,45,52,57,52,49,41,45,39,41,45,43,59,61,47
22,14,129,128,131,59,61,62,62,62,132,129,139,128,131,130,62,62,130,131,129,63,63,133,129,128,128,131,131,59,59,62,129
23,33,33,98,94,41,103,25,100,18,27,34,30,33,26,26,93,27,26,30,87,29,91,31,102,35,99,31,42,41,36,26,32
