,Xg,Yg,Zg,Xm,Ym,Zm
0,0.72,-0.62,-1.12,-2.06,-19.31,43.13
1,0.72,-0.62,-1.12,-0.62,-19.75,42.00
2,1.00,-0.80,-0.99,-0.62,-19.75,42.00
3,1.00,-0.80,-0.99,-0.31,-18.44,41.00
4,0.66,-0.85,-0.41,-0.31,-18.44,41.00
5,0.66,-0.85,-0.41,0.81,-19.12,43.69
6,1.59,-0.53,-1.01,0.81,-19.12,43.69
7,1.59,-0.53,-1.01,1.06,-17.37,43.25
8,1.37,-1.16,-1.37,1.06,-17.37,43.25
9,1.37,-1.16,-1.37,2.56,-16.06,44.19
10,1.61,-1.09,-0.13,2.56,-16.06,44.19
11,1.61,-1.09,-0.13,2.37,-17.94,46.88
12,1.55,-0.71,-1.86,2.37,-17.94,46.88
13,1.55,-0.71,-1.86,3.25,-15.69,48.94
14,0.62,-0.52,0.12,3.25,-15.69,48.94
15,0.62,-0.52,0.12,3.56,-16.37,47.94
16,1.02,-0.18,-0.54,3.56,-16.37,47.94
17,1.02,-0.18,-0.54,3.50,-16.69,51.81
18,-0.02,-1.35,0.00,3.50,-16.69,51.81
19,-0.02,-1.35,0.00,4.69,-14.19,50.44
20,-0.63,-1.04,1.23,4.69,-14.19,50.44
21,-0.63,-1.04,1.23,4.69,-16.75,50.56
22,0.66,-0.60,-2.12,4.69,-16.75,50.56
23,0.66,-0.60,-2.12,5.44,-17.69,51.19
24,-0.48,0.07,1.77,5.44,-17.69,51.19
25,-0.48,0.07,1.77,5.56,-16.94,49.94
26,0.88,0.55,-1.93,5.56,-16.94,49.94
27,0.88,0.55,-1.93,5.44,-17.37,51.13
28,0.12,0.65,0.51,5.44,-17.37,51.13
29,0.12,0.65,0.51,6.37,-16.56,52.88
30,0.78,0.50,-1.11,6.37,-16.56,52.88
31,0.78,0.50,-1.11,6.37,-13.69,52.75
32,-0.07,0.14,0.66,6.37,-13.69,52.75
33,-0.07,0.14,0.66,6.50,-17.37,54.75
34,0.33,-0.04,-0.34,6.50,-17.37,54.75
35,0.33,-0.04,-0.34,6.19,-15.00,52.00
36,-0.30,0.16,0.71,6.19,-15.00,52.00
37,-0.30,0.16,0.71,6.31,-18.00,53.31
38,0.12,0.16,-0.14,6.31,-18.00,53.31
39,0.12,0.16,-0.14,5.44,-15.81,54.00
40,-0.29,0.54,0.78,5.44,-15.81,54.00
41,-0.29,0.54,0.78,6.44,-15.19,55.31
42,-0.67,0.75,0.37,6.44,-15.19,55.31
43,-0.67,0.75,0.37,5.12,-16.00,55.13
44,-1.09,1.45,1.41,5.12,-16.00,55.13
45,-1.09,1.45,1.41,3.31,-17.31,54.19
46,-1.04,1.75,1.91,3.31,-17.31,54.19
47,-1.04,1.75,1.91,2.25,-18.19,54.63
48,-2.34,1.10,1.92,2.25,-18.19,54.63
49,-2.34,1.10,1.92,-0.50,-20.12,52.25
50,-1.97,1.15,0.67,-0.50,-20.12,52.25
51,-1.97,1.15,0.67,-2.19,-19.56,50.75
52,-2.86,1.40,1.59,-2.19,-19.56,50.75
53,-2.86,1.40,1.59,-3.75,-20.69,47.00
54,-1.78,1.06,0.45,-3.75,-20.69,47.00
55,-1.78,1.06,0.45,-4.56,-19.12,41.88
56,-0.06,1.18,-0.80,-4.56,-19.12,41.88
57,-0.06,1.18,-0.80,-4.56,-19.12,41.88
58,-1.00,0.71,1.09,-4.56,-19.12,41.88
59,-1.00,0.71,1.09,-3.56,-19.62,39.63
60,-0.05,0.50,-1.44,-3.56,-19.62,39.63
61,-0.05,0.50,-1.44,-3.50,-19.75,38.63
62,0.68,0.23,-0.63,-3.50,-19.75,38.63
63,0.68,0.23,-0.63,-2.19,-17.44,38.31
64,0.65,-0.24,-1.02,-2.19,-17.44,38.31
65,0.65,-0.24,-1.02,-1.44,-19.87,39.38
66,0.57,-0.56,-0.73,-1.44,-19.87,39.38
67,0.57,-0.56,-0.73,-0.69,-18.19,39.31
68,0.96,-0.68,-0.66,-0.69,-18.19,39.31
69,0.96,-0.68,-0.66,-1.00,-20.37,42.75
70,1.97,-0.53,-2.41,-1.00,-20.37,42.75
71,1.97,-0.53,-2.41,-0.50,-19.37,43.44
72,0.49,-0.73,0.89,-0.50,-19.37,43.44
73,0.49,-0.73,0.89,1.00,-18.31,44.00
74,1.17,-0.90,-1.11,1.00,-18.31,44.00
75,1.17,-0.90,-1.11,1.56,-17.81,44.31
76,1.45,-1.34,-1.42,1.56,-17.81,44.31
77,1.45,-1.34,-1.42,1.75,-18.19,44.88
78,0.97,-0.85,0.75,1.75,-18.19,44.88
79,0.97,-0.85,0.75,1.87,-16.44,46.56
80,1.57,-1.16,-0.85,1.87,-16.44,46.56
81,1.57,-1.16,-0.85,2.75,-17.62,48.94
82,1.83,-1.50,-0.30,2.75,-17.62,48.94
83,1.83,-1.50,-0.30,2.75,-17.94,49.00
84,1.21,-1.26,-1.29,2.75,-17.94,49.00
85,1.21,-1.26,-1.29,4.81,-16.62,49.44
86,-0.26,-0.90,1.49,4.81,-16.62,49.44
87,-0.26,-0.90,1.49,4.56,-16.50,48.88
88,0.35,-0.54,0.56,4.56,-16.50,48.88
89,0.35,-0.54,0.56,4.12,-17.75,51.44
90,0.33,-0.31,-0.90,4.12,-17.75,51.44
91,0.33,-0.31,-0.90,3.62,-17.87,50.50
92,0.37,0.07,-0.16,3.62,-17.87,50.50
93,0.37,0.07,-0.16,5.31,-17.94,52.94
94,1.06,0.46,-1.61,5.31,-17.94,52.94
95,1.06,0.46,-1.61,5.31,-17.87,52.38
96,0.10,0.74,1.13,5.31,-17.87,52.38
97,0.10,0.74,1.13,6.12,-15.63,52.69
98,1.71,0.15,-3.85,6.12,-15.63,52.69
99,1.71,0.15,-3.85,6.44,-16.06,55.50
100,-0.35,0.33,1.95,6.44,-16.06,55.50
101,-0.35,0.33,1.95,7.19,-12.69,55.56
102,1.17,0.10,-2.59,7.19,-12.69,55.56
103,1.17,0.10,-2.59,5.94,-17.00,58.00
104,-0.74,0.70,2.46,5.94,-17.00,58.00
105,-0.74,0.70,2.46,6.75,-14.06,57.06
106,-0.02,0.56,-0.32,6.75,-14.06,57.06
107,-0.02,0.56,-0.32,4.87,-14.38,57.50
108,-0.34,0.77,1.48,4.87,-14.38,57.50
109,-0.34,0.77,1.48,4.50,-17.12,58.81
110,-2.02,1.31,4.56,4.50,-17.12,58.81
111,-2.02,1.31,4.56,2.62,-18.50,56.81
112,0.72,0.68,-3.29,2.62,-18.50,56.81
113,0.72,0.68,-3.29,0.13,-17.56,58.00
114,-2.88,1.72,4.43,0.13,-17.56,58.00
115,-2.88,1.72,4.43,0.75,-17.69,56.81
116,-0.68,0.75,-1.15,0.75,-17.69,56.81
117,-0.68,0.75,-1.15,-2.06,-18.56,55.44
118,-2.05,1.20,1.58,-2.06,-18.56,55.44
119,-2.05,1.20,1.58,-1.12,-20.06,54.00
120,-1.83,1.12,1.96,-1.12,-20.06,54.00
121,-1.83,1.12,1.96,-4.00,-20.06,50.13
122,-1.48,0.80,0.42,-4.00,-20.06,50.13
123,-1.48,0.80,0.42,-3.81,-18.25,47.44
124,0.43,0.96,-0.31,-3.81,-18.25,47.44
125,0.43,0.96,-0.31,-4.81,-21.44,47.94
126,-0.05,0.51,-0.74,-4.81,-21.44,47.94
127,-0.05,0.51,-0.74,-4.50,-18.75,47.19
128,0.34,0.02,-0.48,-4.50,-18.75,47.19
129,0.34,0.02,-0.48,-4.00,-20.81,47.69
130,0.27,-0.58,-0.86,-4.00,-20.81,47.69
131,0.27,-0.58,-0.86,-2.25,-19.69,45.44
132,0.53,-0.60,-0.89,-2.25,-19.69,45.44
133,0.53,-0.60,-0.89,-1.00,-19.69,45.75
134,0.16,-1.04,-0.55,-1.00,-19.69,45.75
135,0.16,-1.04,-0.55,-1.06,-19.87,46.94
136,0.27,-0.71,-0.81,-1.06,-19.87,46.94
137,0.27,-0.71,-0.81,-0.31,-20.06,47.88
138,0.31,-0.68,-1.73,-0.31,-20.06,47.88
139,0.31,-0.68,-1.73,0.31,-19.44,46.00
140,0.52,-0.44,0.07,0.31,-19.44,46.00
141,0.52,-0.44,0.07,0.25,-19.62,47.19
142,1.37,-0.80,-1.45,0.25,-19.62,47.19
143,1.37,-0.80,-1.45,2.12,-17.56,46.31
144,0.42,-1.18,1.14,2.12,-17.56,46.31
145,0.42,-1.18,1.14,1.00,-18.00,47.69
146,1.46,-1.21,-1.33,1.00,-18.00,47.69
147,1.46,-1.21,-1.33,3.06,-18.12,48.50
148,0.33,-0.70,-1.28,3.06,-18.12,48.50
149,0.33,-0.70,-1.28,3.56,-18.69,48.56
150,-0.42,-1.15,1.06,3.56,-18.69,48.56
151,-0.42,-1.15,1.06,4.37,-16.62,47.88
152,0.02,-1.05,-1.04,4.37,-16.62,47.88
153,0.02,-1.05,-1.04,4.50,-17.87,46.56
154,-0.37,-0.57,1.13,4.50,-17.87,46.56
155,-0.37,-0.57,1.13,4.81,-17.56,46.38
156,0.72,-0.08,-1.67,4.81,-17.56,46.38
157,0.72,-0.08,-1.67,5.06,-16.62,46.13
