,Xg,Yg,Zg,Xm,Ym,Zm
0,1.23,1.44,-0.95,-0.06,-18.94,53.69
1,1.23,1.44,-0.95,-0.06,-18.94,53.69
2,0.45,1.29,-0.59,-0.06,-18.94,53.69
3,0.45,1.29,-0.59,0.25,-16.00,56.69
4,0.42,0.76,-0.25,0.25,-16.00,56.69
5,0.42,0.76,-0.25,0.69,-17.81,57.63
6,0.32,0.13,-1.04,0.69,-17.81,57.63
7,0.32,0.13,-1.04,0.62,-17.87,58.19
8,-1.18,-0.88,0.42,0.62,-17.87,58.19
9,-1.18,-0.88,0.42,1.44,-18.62,57.69
10,-1.79,-1.64,1.03,1.44,-18.62,57.69
11,-1.79,-1.64,1.03,0.75,-16.94,53.56
12,-1.70,-2.05,0.87,0.75,-16.94,53.56
13,-1.70,-2.05,0.87,1.50,-17.94,50.94
14,-1.73,-1.51,1.87,1.50,-17.94,50.94
15,-1.73,-1.51,1.87,0.44,-18.00,47.38
16,-1.16,-1.23,0.69,0.44,-18.00,47.38
17,-1.16,-1.23,0.69,0.00,-17.00,46.63
18,-0.64,-0.61,1.10,0.00,-17.00,46.63
19,-0.64,-0.61,1.10,-0.94,-21.44,45.75
20,1.01,0.17,-1.03,-0.94,-21.44,45.75
21,1.01,0.17,-1.03,-0.31,-17.50,44.13
22,-0.07,0.16,1.21,-0.31,-17.50,44.13
23,-0.07,0.16,1.21,-0.37,-18.50,44.88
24,0.36,0.32,-0.44,-0.37,-18.50,44.88
25,0.36,0.32,-0.44,-1.69,-19.19,48.00
26,0.12,0.42,-0.21,-1.69,-19.19,48.00
27,0.12,0.42,-0.21,-1.06,-17.31,46.88
28,0.94,0.91,-1.12,-1.06,-17.31,46.88
29,0.94,0.91,-1.12,-1.44,-19.81,48.19
30,0.41,0.95,-0.34,-1.44,-19.81,48.19
31,0.41,0.95,-0.34,-0.25,-20.50,49.25
32,1.08,1.41,-1.42,-0.25,-20.50,49.25
33,1.08,1.41,-1.42,-0.62,-19.12,51.06
34,1.40,1.49,-1.35,-0.62,-19.12,51.06
35,1.40,1.49,-1.35,0.88,-17.06,52.44
36,0.77,1.20,-0.60,0.88,-17.06,52.44
37,0.77,1.20,-0.60,0.94,-18.12,54.38
38,0.41,0.69,-0.35,0.94,-18.12,54.38
39,0.41,0.69,-0.35,0.56,-16.94,55.75
40,0.34,0.18,-0.05,0.56,-16.94,55.75
41,0.34,0.18,-0.05,0.88,-17.75,55.44
42,-0.80,-0.56,0.36,0.88,-17.75,55.44
43,-0.80,-0.56,0.36,0.94,-19.25,57.94
44,-1.21,-1.04,1.17,0.94,-19.25,57.94
45,-1.21,-1.04,1.17,0.94,-18.75,54.56
46,-0.69,-1.16,0.24,0.94,-18.75,54.56
47,-0.69,-1.16,0.24,0.31,-19.44,55.31
48,-0.98,-1.06,1.71,0.31,-19.44,55.31
49,-0.98,-1.06,1.71,0.13,-19.75,51.63
50,-0.37,-0.99,-0.21,0.13,-19.75,51.63
51,-0.37,-0.99,-0.21,-0.50,-19.69,49.56
52,-1.33,-0.85,1.56,-0.50,-19.69,49.56
53,-1.33,-0.85,1.56,0.31,-18.25,49.06
54,-0.59,-0.67,0.58,0.31,-18.25,49.06
55,-0.59,-0.67,0.58,-1.81,-22.00,46.06
56,-0.31,-0.34,-0.15,-1.81,-22.00,46.06
57,-0.31,-0.34,-0.15,-0.50,-20.12,46.38
58,-0.27,0.12,0.58,-0.50,-20.12,46.38
59,-0.27,0.12,0.58,-1.00,-20.00,45.94
60,0.78,0.66,-1.50,-1.00,-20.00,45.94
61,0.78,0.66,-1.50,-1.75,-19.94,45.50
62,0.25,0.79,-0.51,-1.75,-19.94,45.50
63,0.25,0.79,-0.51,-0.69,-21.06,48.94
64,1.13,1.27,-1.20,-0.69,-21.06,48.94
65,1.13,1.27,-1.20,-0.25,-20.50,49.25
66,1.37,1.39,-1.19,-0.25,-20.50,49.25
67,1.37,1.39,-1.19,0.75,-19.00,50.31
68,1.16,1.39,-0.88,0.75,-19.00,50.31
69,1.16,1.39,-0.88,1.12,-17.31,52.50
70,0.69,1.02,-0.73,1.12,-17.31,52.50
71,0.69,1.02,-0.73,1.19,-17.44,55.19
72,0.30,0.62,-0.17,1.19,-17.44,55.19
73,0.30,0.62,-0.17,0.81,-18.12,56.00
74,0.18,0.22,0.00,0.81,-18.12,56.00
75,0.18,0.22,0.00,1.25,-18.56,57.13
76,-0.38,-0.37,0.33,1.25,-18.56,57.13
77,-0.38,-0.37,0.33,1.00,-17.31,54.13
78,-1.30,-1.06,0.78,1.00,-17.31,54.13
79,-1.30,-1.06,0.78,0.81,-19.62,56.44
80,-1.33,-1.24,1.02,0.81,-19.62,56.44
81,-1.33,-1.24,1.02,0.62,-17.81,52.19
82,-0.49,-1.09,0.23,0.62,-17.81,52.19
83,-0.49,-1.09,0.23,-0.06,-20.56,53.56
84,-1.10,-1.02,1.26,-0.06,-20.56,53.56
85,-1.10,-1.02,1.26,-0.13,-21.12,51.56
86,-1.63,-0.88,0.19,-0.13,-21.12,51.56
87,-1.63,-0.88,0.19,0.19,-18.00,47.38
88,-0.16,-0.53,0.28,0.19,-18.00,47.38
89,-0.16,-0.53,0.28,0.37,-19.69,45.63
90,-0.32,-0.27,1.46,0.37,-19.69,45.63
91,-0.32,-0.27,1.46,-0.19,-19.19,46.19
92,0.65,0.28,-1.48,-0.19,-19.19,46.19
93,0.65,0.28,-1.48,-0.88,-21.12,47.81
94,0.45,0.62,0.11,-0.88,-21.12,47.81
95,0.45,0.62,0.11,0.37,-17.44,45.50
96,0.06,0.35,0.85,0.37,-17.44,45.50
97,0.06,0.35,0.85,-0.50,-19.81,46.38
98,0.57,0.97,-1.75,-0.50,-19.81,46.38
99,0.57,0.97,-1.75,-0.50,-19.87,46.94
100,1.52,1.85,-1.56,-0.50,-19.87,46.94
101,1.52,1.85,-1.56,0.37,-18.12,48.50
102,0.99,1.33,-0.77,0.37,-18.12,48.50
103,0.99,1.33,-0.77,0.94,-18.94,51.81
104,0.49,0.69,-0.53,0.94,-18.94,51.81
105,0.49,0.69,-0.53,1.31,-18.00,53.13
106,0.08,0.22,-0.21,1.31,-18.00,53.13
107,0.08,0.22,-0.21,1.75,-17.00,53.94
108,0.15,-0.25,0.14,1.75,-17.00,53.94
109,0.15,-0.25,0.14,1.37,-19.62,52.50
110,-0.50,-0.54,0.52,1.37,-19.62,52.50
111,-0.50,-0.54,0.52,1.06,-18.81,52.88
112,-0.86,-0.93,1.26,1.06,-18.81,52.88
113,-0.86,-0.93,1.26,1.19,-18.31,51.63
114,-0.44,-1.17,0.22,1.19,-18.31,51.63
115,-0.44,-1.17,0.22,0.37,-21.69,51.63
116,-0.39,-0.79,0.82,0.37,-21.69,51.63
117,-0.39,-0.79,0.82,0.44,-19.75,47.75
118,-0.41,-0.47,1.28,0.44,-19.75,47.75
119,-0.41,-0.47,1.28,0.13,-20.31,48.00
120,-0.70,-0.67,1.55,0.13,-20.31,48.00
121,-0.70,-0.67,1.55,-1.50,-19.56,48.63
122,-0.42,-0.55,0.13,-1.50,-19.56,48.63
123,-0.42,-0.55,0.13,-2.12,-21.44,49.75
124,-0.48,-0.09,1.23,-2.12,-21.44,49.75
125,-0.48,-0.09,1.23,-2.75,-18.94,48.06
126,0.23,0.26,-1.54,-2.75,-18.94,48.06
127,0.23,0.26,-1.54,-1.62,-18.56,47.25
128,-0.47,0.54,-0.21,-1.62,-18.56,47.25
129,-0.47,0.54,-0.21,-1.69,-20.87,47.94
130,0.53,1.49,-1.45,-1.69,-20.87,47.94
131,0.53,1.49,-1.45,-0.62,-20.06,48.06
132,1.94,1.79,-3.21,-0.62,-20.06,48.06
133,1.94,1.79,-3.21,1.19,-18.44,48.44
134,1.66,1.77,-1.04,1.19,-18.44,48.44
135,1.66,1.77,-1.04,1.56,-19.06,52.88
136,1.03,1.35,-0.75,1.56,-19.06,52.88
137,1.03,1.35,-0.75,1.12,-17.25,55.75
138,0.91,1.08,-0.72,1.12,-17.25,55.75
139,0.91,1.08,-0.72,0.44,-16.94,57.44
140,0.07,-0.27,0.01,0.44,-16.94,57.44
141,0.07,-0.27,0.01,0.50,-18.94,59.50
142,-1.21,-1.23,1.34,0.50,-18.94,59.50
143,-1.21,-1.23,1.34,0.31,-17.25,55.88
144,-1.37,-1.71,1.13,0.31,-17.25,55.88
145,-1.37,-1.71,1.13,1.56,-17.69,53.00
146,-1.18,-1.66,1.39,1.56,-17.69,53.00
147,-1.18,-1.66,1.39,0.62,-18.37,51.81
148,-0.82,-1.33,1.04,0.62,-18.37,51.81
149,-0.82,-1.33,1.04,0.81,-19.19,49.75
150,-0.40,-0.62,0.84,0.81,-19.19,49.75
151,-0.40,-0.62,0.84,0.25,-19.19,49.81
152,-0.38,-0.55,1.10,0.25,-19.19,49.81
153,-0.38,-0.55,1.10,-0.88,-17.69,47.44
154,-0.71,-0.70,0.97,-0.88,-17.69,47.44
155,-0.71,-0.70,0.97,-0.37,-19.56,48.44
156,-0.45,-0.39,-0.04,-0.37,-19.56,48.44
157,-0.45,-0.39,-0.04,-1.25,-20.62,46.13
158,-0.10,0.02,-0.38,-1.25,-20.62,46.13
159,-0.10,0.02,-0.38,-1.25,-19.75,45.88
160,0.17,0.53,-0.66,-1.25,-19.75,45.88
161,0.17,0.53,-0.66,-0.81,-19.06,47.31
162,0.09,0.56,-1.04,-0.81,-19.06,47.31
163,0.09,0.56,-1.04,0.44,-17.87,44.63
164,1.38,1.45,-0.23,0.44,-17.87,44.63
165,1.38,1.45,-0.23,-0.25,-19.37,49.44
166,2.27,1.83,-2.40,-0.25,-19.37,49.44
167,2.27,1.83,-2.40,0.50,-18.37,50.19
168,1.83,1.86,-0.60,0.50,-18.37,50.19
169,1.83,1.86,-0.60,0.56,-17.94,52.75
170,1.94,1.65,-0.90,0.56,-17.94,52.75
