,Xg,Yg,Zg,Xm,Ym,Zm
0,-1.89,-1.60,-2.43,9.44,-6.62,16.31
1,-1.89,-1.60,-2.43,10.69,-5.19,14.13
2,-0.65,-3.68,-3.05,10.69,-5.19,14.13
3,-0.65,-3.68,-3.05,11.00,-1.37,9.75
4,-1.09,-4.19,-3.11,11.00,-1.37,9.75
5,-1.09,-4.19,-3.11,9.44,2.37,3.06
6,0.31,-2.43,-3.02,9.44,2.37,3.06
7,0.31,-2.43,-3.02,8.50,5.31,-1.31
8,0.32,-0.67,-2.87,8.50,5.31,-1.31
9,0.32,-0.67,-2.87,8.25,7.06,-1.75
10,0.32,0.90,-2.71,8.25,7.06,-1.75
11,0.32,0.90,-2.71,7.81,7.75,-2.44
12,-0.91,2.53,-4.12,7.81,7.75,-2.44
13,-0.91,2.53,-4.12,9.13,10.56,-2.31
14,-0.18,0.89,-2.91,9.13,10.56,-2.31
15,-0.18,0.89,-2.91,10.13,12.19,-1.87
16,-1.64,-0.82,-0.91,10.13,12.19,-1.87
17,-1.64,-0.82,-0.91,9.63,15.88,-2.12
18,-1.52,0.57,-1.04,9.63,15.88,-2.12
19,-1.52,0.57,-1.04,9.31,13.50,-1.44
20,-1.13,-0.22,-0.15,9.31,13.50,-1.44
21,-1.13,-0.22,-0.15,8.38,18.12,0.13
22,-0.78,-1.17,1.12,8.38,18.12,0.13
23,-0.78,-1.17,1.12,8.31,18.94,0.44
24,1.00,-0.74,1.94,8.31,18.94,0.44
25,1.00,-0.74,1.94,8.44,16.19,-0.50
26,0.56,-0.62,2.49,8.44,16.19,-0.50
27,0.56,-0.62,2.49,9.56,14.31,-1.19
28,1.08,-0.63,3.25,9.56,14.31,-1.19
29,1.08,-0.63,3.25,9.44,13.38,-2.56
30,2.22,-0.25,3.09,9.44,13.38,-2.56
31,2.22,-0.25,3.09,9.88,10.75,-1.94
32,0.90,0.60,2.47,9.88,10.75,-1.94
33,0.90,0.60,2.47,9.75,4.87,-0.37
34,1.01,1.04,2.29,9.75,4.87,-0.37
35,1.01,1.04,2.29,9.63,4.12,1.00
36,0.79,1.35,1.48,9.63,4.12,1.00
37,0.79,1.35,1.48,9.31,0.75,4.62
38,-0.08,1.12,1.55,9.31,0.75,4.62
39,-0.08,1.12,1.55,9.75,-0.56,6.00
40,0.27,1.18,1.32,9.75,-0.56,6.00
41,0.27,1.18,1.32,9.81,-1.56,8.94
42,0.23,0.66,1.18,9.81,-1.56,8.94
43,0.23,0.66,1.18,9.19,-3.31,9.50
44,0.09,0.17,1.10,9.19,-3.31,9.50
45,0.09,0.17,1.10,8.81,-4.37,10.94
46,-0.59,0.89,-0.02,8.81,-4.37,10.94
47,-0.59,0.89,-0.02,8.63,-6.12,13.06
48,-0.64,1.01,-0.62,8.63,-6.12,13.06
49,-0.64,1.01,-0.62,9.38,-2.94,10.44
50,-0.90,0.42,-1.86,9.38,-2.94,10.44
51,-0.90,0.42,-1.86,11.25,-2.06,10.50
52,-1.03,-1.28,-1.96,11.25,-2.06,10.50
53,-1.03,-1.28,-1.96,12.19,-1.50,8.56
54,-0.24,-1.44,-2.80,12.19,-1.50,8.56
55,-0.24,-1.44,-2.80,11.00,3.56,6.87
56,0.91,-0.98,-3.26,11.00,3.56,6.87
57,0.91,-0.98,-3.26,11.63,6.12,2.81
58,0.79,-0.55,-3.24,11.63,6.12,2.81
59,0.79,-0.55,-3.24,11.31,8.19,0.13
60,1.13,-0.64,-2.43,11.31,8.19,0.13
61,1.13,-0.64,-2.43,11.25,9.50,0.88
62,0.05,-0.04,-2.90,11.25,9.50,0.88
63,0.05,-0.04,-2.90,10.56,9.94,-0.19
64,-0.19,-0.46,-1.76,10.56,9.94,-0.19
65,-0.19,-0.46,-1.76,10.75,10.69,0.62
66,-0.94,-0.51,-1.33,10.75,10.69,0.62
67,-0.94,-0.51,-1.33,10.19,13.38,-2.69
68,-0.55,-0.26,-0.57,10.19,13.38,-2.69
69,-0.55,-0.26,-0.57,9.44,16.56,-2.87
70,-1.59,0.26,-0.81,9.44,16.56,-2.87
71,-1.59,0.26,-0.81,9.25,15.94,-0.56
72,-0.63,-0.50,0.20,9.25,15.94,-0.56
73,-0.63,-0.50,0.20,8.69,18.81,-0.62
74,-0.27,-0.45,1.21,8.69,18.81,-0.62
75,-0.27,-0.45,1.21,8.63,15.81,0.19
76,0.64,-0.18,1.39,8.63,15.81,0.19
77,0.64,-0.18,1.39,9.44,17.50,-3.12
78,0.70,-1.07,3.16,9.44,17.50,-3.12
79,0.70,-1.07,3.16,9.69,14.19,-2.25
80,-0.13,-0.44,2.70,9.69,14.19,-2.25
81,-0.13,-0.44,2.70,10.69,13.63,-2.31
82,1.17,-0.67,3.10,10.69,13.63,-2.31
83,1.17,-0.67,3.10,9.38,9.88,-1.62
84,0.87,-0.19,2.26,9.38,9.88,-1.62
85,0.87,-0.19,2.26,9.38,6.50,-1.75
86,1.45,0.27,2.26,9.38,6.50,-1.75
87,1.45,0.27,2.26,8.31,4.37,1.12
88,2.02,0.78,1.73,8.31,4.37,1.12
89,2.02,0.78,1.73,8.44,1.56,2.87
90,0.75,0.69,1.60,8.44,1.56,2.87
91,0.75,0.69,1.60,7.81,-0.25,4.06
92,0.80,0.52,1.43,7.81,-0.25,4.06
93,0.80,0.52,1.43,7.69,-2.19,5.69
94,-0.16,1.69,0.48,7.69,-2.19,5.69
95,-0.16,1.69,0.48,6.94,-4.31,8.50
96,-0.25,1.41,1.00,6.94,-4.31,8.50
97,-0.25,1.41,1.00,7.44,-3.69,8.25
98,-1.17,1.75,0.25,7.44,-3.69,8.25
99,-1.17,1.75,0.25,8.69,-4.56,9.94
100,-0.37,1.59,-0.88,8.69,-4.56,9.94
101,-0.37,1.59,-0.88,10.00,-3.69,10.00
102,-0.70,0.47,-1.55,10.00,-3.69,10.00
103,-0.70,0.47,-1.55,10.81,-1.25,12.50
104,-0.46,-0.65,-2.84,10.81,-1.25,12.50
105,-0.46,-0.65,-2.84,11.00,-1.19,10.31
106,0.75,-2.31,-2.49,11.00,-1.19,10.31
107,0.75,-2.31,-2.49,12.13,3.37,6.12
108,0.29,-2.11,-3.07,12.13,3.37,6.12
109,0.29,-2.11,-3.07,11.38,4.87,5.37
110,1.58,-1.04,-3.30,11.38,4.87,5.37
111,1.58,-1.04,-3.30,10.75,6.69,0.62
112,0.55,-0.67,-2.43,10.75,6.69,0.62
113,0.55,-0.67,-2.43,11.00,6.87,1.06
114,0.72,-0.39,-2.27,11.00,6.87,1.06
115,0.72,-0.39,-2.27,9.81,9.81,-1.19
116,-0.97,0.15,-2.11,9.81,9.81,-1.19
117,-0.97,0.15,-2.11,9.75,8.69,-3.00
118,-1.07,0.16,-1.97,9.75,8.69,-3.00
119,-1.07,0.16,-1.97,9.81,12.69,-1.31
120,-1.33,0.10,-1.56,9.81,12.69,-1.31
121,-1.33,0.10,-1.56,9.56,16.31,-1.19
122,-2.29,0.15,-0.79,9.56,16.31,-1.19
123,-2.29,0.15,-0.79,9.25,17.31,-0.31
124,-0.72,0.27,-0.12,9.25,17.31,-0.31
125,-0.72,0.27,-0.12,8.75,20.44,1.62
126,-0.30,-0.33,0.12,8.75,20.44,1.62
127,-0.30,-0.33,0.12,8.00,19.69,0.94
128,0.76,-1.32,1.83,8.00,19.69,0.94
129,0.76,-1.32,1.83,8.38,21.00,-0.13
130,1.52,-0.54,1.67,8.38,21.00,-0.13
131,1.52,-0.54,1.67,8.44,17.94,-0.88
132,1.34,-0.90,3.01,8.44,17.94,-0.88
133,1.34,-0.90,3.01,9.69,14.81,-2.37
134,0.66,-0.56,2.71,9.69,14.81,-2.37
135,0.66,-0.56,2.71,9.19,11.75,-3.12
136,1.21,-0.25,1.97,9.19,11.75,-3.12
137,1.21,-0.25,1.97,9.06,7.87,-1.56
138,1.12,-0.59,2.84,9.06,7.87,-1.56
139,1.12,-0.59,2.84,8.88,5.69,-2.06
140,1.28,0.55,2.08,8.88,5.69,-2.06
141,1.28,0.55,2.08,8.13,2.56,0.00
142,0.59,1.45,1.41,8.13,2.56,0.00
143,0.59,1.45,1.41,7.69,1.94,2.37
144,0.31,1.53,1.37,7.69,1.94,2.37
145,0.31,1.53,1.37,8.13,0.37,3.25
146,0.12,1.85,0.97,8.13,0.37,3.25
147,0.12,1.85,0.97,8.88,-0.31,4.44
148,-0.10,1.62,1.91,8.88,-0.31,4.44
149,-0.10,1.62,1.91,8.63,-3.00,7.37
150,0.15,1.95,0.92,8.63,-3.00,7.37
151,0.15,1.95,0.92,9.31,-3.12,11.63
152,-0.44,1.61,0.30,9.31,-3.12,11.63
153,-0.44,1.61,0.30,10.19,-4.87,14.13
154,-0.24,0.51,0.11,10.19,-4.87,14.13
155,-0.24,0.51,0.11,10.06,-4.44,15.13
156,-0.87,0.13,-0.95,10.06,-4.44,15.13
157,-0.87,0.13,-0.95,11.00,-1.75,10.50
158,-0.22,-1.13,-2.56,11.00,-1.75,10.50
159,-0.22,-1.13,-2.56,11.38,-1.25,12.44
160,-0.43,-2.90,-2.89,11.38,-1.25,12.44
161,-0.43,-2.90,-2.89,11.31,3.00,6.37
162,-0.12,-3.34,-2.04,11.31,3.00,6.37
163,-0.12,-3.34,-2.04,10.88,4.19,2.37
164,-0.10,-1.44,-2.58,10.88,4.19,2.37
165,-0.10,-1.44,-2.58,8.88,7.25,0.81
166,0.19,-0.72,-2.50,8.88,7.25,0.81
167,0.19,-0.72,-2.50,9.38,8.81,-1.87
168,-0.83,-0.15,-3.28,9.38,8.81,-1.87
169,-0.83,-0.15,-3.28,8.88,11.13,-2.44
170,-0.87,0.03,-2.14,8.88,11.13,-2.44
171,-0.87,0.03,-2.14,8.50,14.50,-4.37
172,-1.24,1.16,-2.07,8.50,14.50,-4.37
173,-1.24,1.16,-2.07,8.13,14.63,-3.19
174,-1.28,1.78,-1.04,8.13,14.63,-3.19
175,-1.28,1.78,-1.04,9.06,15.25,-1.37
176,-1.05,1.34,-0.76,9.06,15.25,-1.37
177,-1.05,1.34,-0.76,9.38,19.94,1.12
178,-0.93,0.58,-1.61,9.38,19.94,1.12
179,-0.93,0.58,-1.61,8.44,20.81,2.69
180,-0.18,-1.19,1.04,8.44,20.81,2.69
181,-0.18,-1.19,1.04,9.00,19.75,2.31
182,0.29,-1.05,2.43,9.00,19.75,2.31
183,0.29,-1.05,2.43,9.44,18.31,0.44
184,1.64,-1.59,3.24,9.44,18.31,0.44
185,1.64,-1.59,3.24,9.63,16.31,0.94
186,1.05,-2.73,3.39,9.63,16.31,0.94
187,1.05,-2.73,3.39,9.56,11.13,-0.88
188,0.71,-2.56,3.09,9.56,11.13,-0.88
189,0.71,-2.56,3.09,8.75,11.06,-4.00
190,1.28,-0.63,2.27,8.75,11.06,-4.00
191,1.28,-0.63,2.27,6.25,9.25,-3.12
192,1.39,0.44,2.31,6.25,9.25,-3.12
193,1.39,0.44,2.31,6.06,6.06,-0.62
194,1.86,1.37,1.34,6.06,6.06,-0.62
195,1.86,1.37,1.34,6.56,2.62,-0.31
196,1.89,1.50,0.84,6.56,2.62,-0.31
197,1.89,1.50,0.84,6.56,1.56,3.19
198,1.32,1.10,1.23,6.56,1.56,3.19
199,1.32,1.10,1.23,6.94,-2.37,5.31
200,1.56,2.54,0.25,6.94,-2.37,5.31
201,1.56,2.54,0.25,7.19,-1.12,8.13
202,1.04,2.95,0.61,7.19,-1.12,8.13
203,1.04,2.95,0.61,8.06,-5.62,13.63
204,-0.25,1.62,0.94,8.06,-5.62,13.63
205,-0.25,1.62,0.94,9.00,-6.75,15.31
206,-0.78,0.59,-0.51,9.00,-6.75,15.31
207,-0.78,0.59,-0.51,9.25,-5.37,15.50
208,-1.52,-0.70,-1.27,9.25,-5.37,15.50
209,-1.52,-0.70,-1.27,10.00,-3.31,13.19
210,-2.34,-1.63,-1.56,10.00,-3.31,13.19
211,-2.34,-1.63,-1.56,10.63,-2.25,11.69
212,-1.54,-2.12,-1.79,10.63,-2.25,11.69
213,-1.54,-2.12,-1.79,10.56,1.44,5.87
214,-0.91,-2.37,-2.37,10.56,1.44,5.87
215,-0.91,-2.37,-2.37,9.44,4.56,3.56
216,0.11,-1.96,-2.40,9.44,4.56,3.56
217,0.11,-1.96,-2.40,8.63,5.56,0.75
218,0.64,-0.36,-2.73,8.63,5.56,0.75
219,0.64,-0.36,-2.73,8.38,8.00,-2.56
220,0.13,0.84,-3.49,8.38,8.00,-2.56
221,0.13,0.84,-3.49,9.25,9.69,-0.44
222,-0.02,0.44,-2.72,9.25,9.69,-0.44
223,-0.02,0.44,-2.72,9.00,9.75,-0.94
224,-0.92,0.01,-2.91,9.00,9.75,-0.94
225,-0.92,0.01,-2.91,9.44,13.38,-2.56
226,-0.57,-0.14,-1.54,9.44,13.38,-2.56
227,-0.57,-0.14,-1.54,8.13,15.25,-3.37
228,-0.63,0.55,-0.54,8.13,15.25,-3.37
229,-0.63,0.55,-0.54,8.13,16.31,-3.12
230,-0.67,1.09,-0.71,8.13,16.31,-3.12
231,-0.67,1.09,-0.71,8.25,18.12,-2.00
232,-0.62,-0.37,1.19,8.25,18.12,-2.00
233,-0.62,-0.37,1.19,8.19,17.62,-0.75
234,-0.29,-0.55,2.07,8.19,17.62,-0.75
235,-0.29,-0.55,2.07,8.69,15.31,-0.19
236,0.44,-0.43,2.54,8.69,15.31,-0.19
237,0.44,-0.43,2.54,9.38,14.63,0.94
238,0.02,-0.91,3.08,9.38,14.63,0.94
239,0.02,-0.91,3.08,9.69,13.25,0.19
240,0.68,-1.70,3.09,9.69,13.25,0.19
241,0.68,-1.70,3.09,9.38,12.25,-2.25
242,1.71,-1.33,2.28,9.38,12.25,-2.25
243,1.71,-1.33,2.28,8.06,8.63,-2.62
244,2.01,-0.38,2.22,8.06,8.63,-2.62
245,2.01,-0.38,2.22,7.37,3.44,-0.13
246,2.19,0.81,1.51,7.37,3.44,-0.13
247,2.19,0.81,1.51,5.56,2.25,2.12
248,2.00,1.19,0.96,5.56,2.25,2.12
249,2.00,1.19,0.96,6.12,-0.44,5.44
250,0.97,0.98,1.03,6.12,-0.44,5.44
251,0.97,0.98,1.03,6.62,-2.50,5.94
252,0.50,1.76,0.80,6.62,-2.50,5.94
253,0.50,1.76,0.80,6.44,-3.44,8.38
254,0.05,2.16,0.68,6.44,-3.44,8.38
255,0.05,2.16,0.68,7.81,-5.44,10.31
256,-1.04,1.78,0.31,7.81,-5.44,10.31
257,-1.04,1.78,0.31,7.44,-5.12,11.94
258,-1.11,0.98,-0.50,7.44,-5.12,11.94
259,-1.11,0.98,-0.50,8.69,-3.44,12.31
260,-1.16,0.30,-1.52,8.69,-3.44,12.31
261,-1.16,0.30,-1.52,10.06,-2.25,11.75
