,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction
0,4.44,-0.62,2.81,-0.23,0.25,0.06,0.00,0.00,0.00,0.01,0.09,0.31,0.95
1,4.44,-0.62,2.81,-0.23,0.25,0.06,0.00,0.00,0.00,0.00,0.33,0.31,0.89
2,4.44,-0.62,2.81,-1.43,-3.67,0.12,0.00,0.00,0.00,0.00,0.33,0.31,0.89
3,4.81,0.44,4.75,-1.43,-3.67,0.12,0.00,0.00,0.00,0.00,0.33,0.31,0.89
4,4.81,0.44,4.75,-1.94,-7.32,-0.50,0.00,0.00,0.00,0.00,0.33,0.31,0.89
5,4.81,0.44,4.75,-1.94,-7.32,-0.50,0.00,0.00,0.00,0.00,0.14,0.32,0.94
6,4.81,0.44,4.75,-1.01,-6.89,-0.00,0.00,0.00,0.00,0.00,0.14,0.32,0.94
7,4.44,1.37,0.25,-1.01,-6.89,-0.00,0.00,0.00,0.00,0.00,0.14,0.32,0.94
8,4.44,1.37,0.25,0.30,-4.92,-0.37,0.00,0.00,0.00,0.00,0.14,0.32,0.94
9,4.44,1.37,0.25,0.30,-4.92,-0.37,0.00,0.00,0.00,0.06,-0.19,0.30,0.93
10,4.44,1.37,0.25,0.07,-1.30,0.10,0.00,0.00,0.00,0.06,-0.19,0.30,0.93
11,2.00,-0.69,-1.69,0.07,-1.30,0.10,0.00,0.00,0.00,0.06,-0.19,0.30,0.93
12,2.00,-0.69,-1.69,0.17,3.42,0.09,0.00,0.00,0.00,0.06,-0.19,0.30,0.93
13,2.00,-0.69,-1.69,0.17,3.42,0.09,0.00,0.00,0.00,0.09,-0.24,0.30,0.92
14,2.00,-0.69,-1.69,0.34,7.97,-0.04,0.00,0.00,0.00,0.09,-0.24,0.30,0.92
15,3.62,0.37,-1.69,0.34,7.97,-0.04,0.00,0.00,0.00,0.09,-0.24,0.30,0.92
16,3.62,0.37,-1.69,1.78,7.46,0.16,0.00,0.00,0.00,0.09,-0.24,0.30,0.92
17,3.62,0.37,-1.69,1.78,7.46,0.16,0.00,0.00,0.00,0.01,0.10,0.32,0.94
18,3.62,0.37,-1.69,0.99,3.58,0.12,0.00,0.00,0.00,0.01,0.10,0.32,0.94
19,6.06,1.75,3.31,0.99,3.58,0.12,0.00,0.00,0.00,0.01,0.10,0.32,0.94
20,6.06,1.75,3.31,-0.22,-0.29,-0.08,0.00,0.00,0.00,0.01,0.10,0.32,0.94
21,6.06,1.75,3.31,-0.22,-0.29,-0.08,0.00,0.00,0.00,-0.00,0.29,0.31,0.91
22,6.06,1.75,3.31,-1.44,-4.59,0.04,0.00,0.00,0.00,-0.00,0.29,0.31,0.91
23,4.37,-0.62,3.25,-1.44,-4.59,0.04,0.00,0.00,0.00,-0.00,0.29,0.31,0.91
24,4.37,-0.62,3.25,-1.45,-8.25,-0.74,0.00,0.00,0.00,-0.00,0.29,0.31,0.91
25,4.37,-0.62,3.25,-1.45,-8.25,-0.74,0.00,0.00,0.00,0.01,0.07,0.31,0.95
26,4.37,-0.62,3.25,-0.52,-7.42,0.21,0.00,0.00,0.00,0.01,0.07,0.31,0.95
27,5.69,0.69,-0.94,-0.52,-7.42,0.21,0.00,0.00,0.00,0.01,0.07,0.31,0.95
28,5.69,0.69,-0.94,0.23,-2.22,-0.01,0.00,0.00,0.00,0.01,0.07,0.31,0.95
29,5.69,0.69,-0.94,0.23,-2.22,-0.01,0.00,0.00,0.00,0.08,-0.24,0.29,0.92
30,5.69,0.69,-0.94,-0.03,1.70,0.18,0.00,0.00,0.00,0.08,-0.24,0.29,0.92
31,2.44,0.00,-2.06,-0.03,1.70,0.18,0.00,0.00,0.00,0.08,-0.24,0.29,0.92
32,2.44,0.00,-2.06,0.50,6.16,-0.02,0.00,0.00,0.00,0.08,-0.24,0.29,0.92
33,2.44,0.00,-2.06,0.50,6.16,-0.02,0.00,0.00,0.00,0.06,-0.15,0.31,0.94
34,2.44,0.00,-2.06,-0.15,8.23,0.44,0.00,0.00,0.00,0.06,-0.15,0.31,0.94
35,4.87,-1.31,2.12,-0.15,8.23,0.44,0.00,0.00,0.00,0.06,-0.15,0.31,0.94
36,4.87,-1.31,2.12,1.41,4.95,0.08,0.00,0.00,0.00,0.06,-0.15,0.31,0.94
37,4.87,-1.31,2.12,1.41,4.95,0.08,0.00,0.00,0.00,0.00,0.20,0.32,0.93
38,4.87,-1.31,2.12,0.29,0.92,-0.08,0.00,0.00,0.00,0.00,0.20,0.32,0.93
39,5.69,-0.94,3.62,0.29,0.92,-0.08,0.00,0.00,0.00,0.00,0.20,0.32,0.93
40,5.69,-0.94,3.62,-0.80,-3.75,-0.17,0.00,0.00,0.00,0.00,0.20,0.32,0.93
41,5.69,-0.94,3.62,-0.80,-3.75,-0.17,0.00,0.00,0.00,0.00,0.24,0.31,0.92
42,5.69,-0.94,3.62,-1.70,-6.80,-0.19,0.00,0.00,0.00,0.00,0.24,0.31,0.92
43,4.00,0.06,1.37,-1.70,-6.80,-0.19,0.00,0.00,0.00,0.00,0.24,0.31,0.92
44,4.00,0.06,1.37,-0.80,-6.59,0.11,0.00,0.00,0.00,0.00,0.24,0.31,0.92
45,4.00,0.06,1.37,-0.80,-6.59,0.11,0.00,0.00,0.00,0.04,-0.07,0.31,0.95
46,4.00,0.06,1.37,-0.23,-3.54,0.03,0.00,0.00,0.00,0.04,-0.07,0.31,0.95
47,2.00,-0.69,-1.31,-0.23,-3.54,0.03,0.00,0.00,0.00,0.04,-0.07,0.31,0.95
48,2.00,-0.69,-1.31,-0.13,0.46,0.13,0.00,0.00,0.00,0.04,-0.07,0.31,0.95
49,2.00,-0.69,-1.31,-0.13,0.46,0.13,0.00,0.00,0.00,0.08,-0.24,0.30,0.92
50,2.00,-0.69,-1.31,0.57,4.96,-0.04,0.00,0.00,0.00,0.08,-0.24,0.30,0.92
51,2.44,0.06,-0.94,0.57,4.96,-0.04,0.00,0.00,0.00,0.08,-0.24,0.30,0.92
52,2.44,0.06,-0.94,0.80,7.81,0.16,0.00,0.00,0.00,0.08,-0.24,0.30,0.92
53,2.44,0.06,-0.94,0.80,7.81,0.16,0.00,0.00,0.00,0.03,-0.01,0.32,0.95
54,2.44,0.06,-0.94,2.12,7.24,0.18,0.00,0.00,0.00,0.03,-0.01,0.32,0.95
55,4.81,0.75,3.62,2.12,7.24,0.18,0.00,0.00,0.00,0.03,-0.01,0.32,0.95
56,4.81,0.75,3.62,0.61,2.34,0.19,0.00,0.00,0.00,0.03,-0.01,0.32,0.95
57,4.81,0.75,3.62,0.61,2.34,0.19,0.00,0.00,0.00,0.01,0.31,0.32,0.90
58,4.81,0.75,3.62,-0.41,-0.74,-0.16,0.00,0.00,0.00,0.01,0.31,0.32,0.90
59,3.50,0.81,4.81,-0.41,-0.74,-0.16,0.00,0.00,0.00,0.01,0.31,0.32,0.90
60,3.50,0.81,4.81,-1.39,-4.74,0.07,0.00,0.00,0.00,0.01,0.31,0.32,0.90
61,3.50,0.81,4.81,-1.39,-4.74,0.07,0.00,0.00,0.00,0.00,0.26,0.32,0.91
62,3.50,0.81,4.81,-1.57,-7.40,-0.39,0.00,0.00,0.00,0.00,0.26,0.32,0.91
63,4.44,0.37,1.37,-1.57,-7.40,-0.39,0.00,0.00,0.00,0.00,0.26,0.32,0.91
64,4.44,0.37,1.37,-0.32,-7.05,-0.20,0.00,0.00,0.00,0.00,0.26,0.32,0.91
65,4.44,0.37,1.37,-0.32,-7.05,-0.20,0.00,0.00,0.00,0.06,-0.09,0.31,0.94
66,4.44,0.37,1.37,-0.04,-3.35,0.27,0.00,0.00,0.00,0.06,-0.09,0.31,0.94
67,3.62,0.37,-0.94,-0.04,-3.35,0.27,0.00,0.00,0.00,0.06,-0.09,0.31,0.94
68,3.62,0.37,-0.94,-0.03,0.24,0.21,0.00,0.00,0.00,0.06,-0.09,0.31,0.94
69,3.62,0.37,-0.94,-0.03,0.24,0.21,0.00,0.00,0.00,0.10,-0.25,0.30,0.91
70,3.62,0.37,-0.94,0.53,4.82,-0.21,0.00,0.00,0.00,0.10,-0.25,0.30,0.91
71,2.81,2.06,-0.88,0.53,4.82,-0.21,0.00,0.00,0.00,0.10,-0.25,0.30,0.91
72,2.81,2.06,-0.88,0.31,8.46,-0.29,0.00,0.00,0.00,0.10,-0.25,0.30,0.91
73,2.81,2.06,-0.88,0.31,8.46,-0.29,0.00,0.00,0.00,0.05,-0.02,0.32,0.95
74,2.81,2.06,-0.88,1.80,7.16,-0.25,0.00,0.00,0.00,0.05,-0.02,0.32,0.95
75,3.50,0.81,4.06,1.80,7.16,-0.25,0.00,0.00,0.00,0.05,-0.02,0.32,0.95
