,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,0.27,0.43,0.37,0.81,-10.38,8.19,7.92,2.29,6.90,0.53,-0.03,0.79,0.29,496307,15:58:20
1,0.27,0.43,0.37,0.81,-10.38,8.19,8.53,3.20,4.07,0.53,-0.03,0.79,0.29,496348,15:58:20
2,0.27,0.43,0.37,0.81,-10.38,8.19,8.49,4.09,2.57,0.53,-0.03,0.79,0.29,496400,15:58:20
3,0.27,0.43,0.37,0.81,-10.38,8.19,8.45,3.59,2.46,0.53,-0.03,0.79,0.29,496441,15:58:20
4,0.27,0.43,0.37,0.81,-10.38,8.19,8.68,3.89,2.54,0.53,-0.03,0.79,0.29,496479,15:58:20
5,0.25,-0.02,0.23,0.81,-10.38,8.19,8.68,3.89,2.54,0.53,-0.03,0.79,0.29,496520,15:58:20
6,0.18,0.01,0.09,0.81,-10.38,8.19,8.68,3.89,2.54,0.53,-0.03,0.79,0.29,496660,15:58:20
7,0.18,0.01,0.09,0.81,-10.38,8.19,8.68,4.24,2.31,0.53,-0.03,0.79,0.29,496753,15:58:20
8,0.18,0.01,0.09,0.81,-10.38,8.19,8.72,3.97,2.57,0.53,-0.03,0.79,0.29,496790,15:58:20
9,0.18,0.01,0.09,0.81,-10.38,8.19,8.64,4.51,2.61,0.53,-0.03,0.79,0.29,496821,15:58:20
10,-0.10,-0.04,-0.06,0.81,-10.38,8.19,8.64,4.51,2.61,0.53,-0.03,0.79,0.29,496863,15:58:20
11,-0.10,-0.04,-0.06,0.81,-10.38,8.19,8.91,4.20,2.50,0.53,-0.03,0.79,0.29,496907,15:58:20
12,-0.06,-0.03,-0.06,0.81,-10.38,8.19,8.91,4.20,2.50,0.53,-0.03,0.79,0.29,496943,15:58:21
13,-0.06,-0.03,-0.06,0.81,-10.38,8.19,8.84,4.05,2.50,0.53,-0.03,0.79,0.29,496979,15:58:21
14,-0.12,-0.09,-0.10,0.81,-10.38,8.19,8.84,4.05,2.50,0.53,-0.03,0.79,0.29,497019,15:58:21
15,-0.12,-0.09,-0.10,0.81,-10.38,8.19,8.53,4.24,2.23,0.53,-0.03,0.79,0.29,497227,15:58:21
16,-0.12,-0.09,-0.10,0.81,-10.38,8.19,8.34,3.47,2.23,0.53,-0.03,0.79,0.29,497294,15:58:21
17,-0.07,0.02,0.05,0.81,-10.38,8.19,8.34,3.47,2.23,0.53,-0.03,0.79,0.29,497365,15:58:21
18,-0.07,0.02,0.05,0.81,-10.38,8.19,8.88,4.39,2.61,0.53,-0.03,0.79,0.29,497393,15:58:21
19,-0.07,0.02,0.05,0.81,-10.38,8.19,8.72,3.55,2.61,0.53,-0.03,0.79,0.29,497432,15:58:21
20,-0.07,0.02,0.05,4.25,-18.87,-2.00,8.72,3.55,2.61,0.53,-0.03,0.79,0.29,497485,15:58:21
21,-0.07,0.02,0.05,4.25,-18.87,-2.00,8.91,4.01,2.65,0.53,-0.03,0.79,0.29,497530,15:58:21
