,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,0.04,0.04,-0.05,-13.06,-11.25,-4.31,3.47,8.58,-3.25,0.53,-0.65,-0.12,0.54,848531,16:52:08.476174
1,0.04,0.04,-0.05,-13.06,-11.25,-4.31,1.44,9.50,0.59,0.53,-0.65,-0.12,0.54,848589,16:52:08.529377
2,0.04,0.04,-0.05,-13.06,-11.25,-4.31,1.48,9.81,-1.87,0.53,-0.65,-0.12,0.54,848860,16:52:08.804273
3,-0.13,-0.12,-0.03,-13.06,-11.25,-4.31,1.48,9.81,-1.87,0.53,-0.65,-0.12,0.54,849042,16:52:08.981400
4,-0.13,-0.12,-0.03,-13.06,-11.25,-4.31,1.67,9.46,-2.37,0.53,-0.65,-0.12,0.54,849245,16:52:09.180363
5,-0.13,-0.12,-0.03,-21.50,-12.00,3.75,1.67,9.46,-2.37,0.53,-0.65,-0.12,0.54,849296,16:52:09.235149
6,-0.13,-0.12,-0.03,-21.50,-12.00,3.75,1.17,9.77,-2.02,0.53,-0.65,-0.12,0.54,849926,16:52:09.869906
7,-0.13,-0.12,-0.03,-21.50,-12.00,3.75,1.32,9.54,-2.67,0.53,-0.65,-0.12,0.54,850008,16:52:09.940082
8,0.00,-0.00,0.14,-21.50,-12.00,3.75,1.32,9.54,-2.67,0.53,-0.65,-0.12,0.54,850516,16:52:10.462249
9,0.00,-0.00,0.14,-21.50,-12.00,3.75,1.32,9.58,-1.79,0.53,-0.65,-0.12,0.54,850575,16:52:10.513706
10,0.00,-0.00,0.14,-21.50,-12.00,3.75,1.40,8.62,-2.02,0.53,-0.65,-0.12,0.54,850609,16:52:10.552125
11,0.73,1.35,0.15,-21.50,-12.00,3.75,1.40,8.62,-2.02,0.53,-0.65,-0.12,0.54,850638,16:52:10.580474
12,0.73,1.35,0.15,-21.50,-12.00,3.75,1.09,9.54,-5.24,0.53,-0.65,-0.12,0.54,850672,16:52:10.614969
13,1.20,1.53,-0.20,-21.50,-12.00,3.75,1.09,9.54,-5.24,0.53,-0.65,-0.12,0.54,850710,16:52:10.656025
14,1.20,1.53,-0.20,-21.50,-12.00,3.75,2.39,8.39,-3.71,0.53,-0.65,-0.12,0.54,850740,16:52:10.683426
15,1.20,1.53,-0.20,-21.50,-12.00,3.75,2.74,7.86,-3.86,0.53,-0.65,-0.12,0.54,850774,16:52:10.718309
16,0.39,0.08,0.80,-21.50,-12.00,3.75,2.74,7.86,-3.86,0.53,-0.65,-0.12,0.54,850809,16:52:10.753614
17,0.39,0.08,0.80,-21.50,-12.00,3.75,2.43,8.73,-5.51,0.53,-0.65,-0.12,0.54,850880,16:52:10.819930
18,0.39,0.08,0.80,-21.50,-12.00,3.75,2.51,8.24,-5.74,0.53,-0.65,-0.12,0.54,850960,16:52:10.902564
19,1.46,1.67,-0.08,-21.50,-12.00,3.75,2.51,8.24,-5.74,0.53,-0.65,-0.12,0.54,851015,16:52:10.958390
20,1.46,1.67,-0.08,-21.50,-12.00,3.75,6.87,7.86,-5.62,0.53,-0.65,-0.12,0.54,851047,16:52:10.991453
21,1.46,1.67,-0.08,-21.50,-12.00,3.75,6.30,7.55,-7.00,0.53,-0.65,-0.12,0.54,851085,16:52:11.027758
22,1.46,1.67,-0.08,-21.50,-12.00,3.75,6.65,7.12,-7.04,0.53,-0.65,-0.12,0.54,851121,16:52:11.068462
23,1.54,0.62,1.20,-21.50,-12.00,3.75,6.65,7.12,-7.04,0.53,-0.65,-0.12,0.54,851159,16:52:11.102068
24,1.54,0.62,1.20,-21.50,-12.00,3.75,6.80,5.98,-4.47,0.53,-0.65,-0.12,0.54,851209,16:52:11.152677
25,1.54,0.62,1.20,-21.50,-12.00,3.75,5.84,5.17,-4.01,0.53,-0.65,-0.12,0.54,851252,16:52:11.197243
26,1.54,0.62,1.20,-21.50,-12.00,3.75,6.87,3.75,-2.63,0.53,-0.65,-0.12,0.54,851334,16:52:11.272560
27,1.54,0.62,1.20,-21.50,-12.00,3.75,6.61,3.53,-2.44,0.53,-0.65,-0.12,0.54,851657,16:52:11.597588
28,-0.99,-1.09,0.49,-21.50,-12.00,3.75,6.61,3.53,-2.44,0.53,-0.65,-0.12,0.54,851880,16:52:11.817867
29,-0.99,-1.09,0.49,-21.50,-12.00,3.75,3.96,9.54,-3.02,0.53,-0.65,-0.12,0.54,851927,16:52:11.869823
30,-0.99,-1.09,0.49,-21.50,-12.00,3.75,4.77,7.86,-1.56,0.53,-0.65,-0.12,0.54,851959,16:52:11.905198
31,-0.99,-1.09,0.49,-21.50,-12.00,3.75,5.15,7.66,-2.14,0.53,-0.65,-0.12,0.54,851996,16:52:11.939344
32,-0.99,-1.09,0.49,-21.50,-12.00,3.75,6.23,6.90,-3.75,0.53,-0.65,-0.12,0.54,852033,16:52:11.979005
33,-0.22,1.58,-0.12,-21.50,-12.00,3.75,6.23,6.90,-3.75,0.53,-0.65,-0.12,0.54,852076,16:52:12.017448
34,0.17,1.25,-0.08,-21.50,-12.00,3.75,6.23,6.90,-3.75,0.53,-0.65,-0.12,0.54,852124,16:52:12.068856
35,0.17,1.25,-0.08,-21.50,-12.00,3.75,6.68,9.73,-3.52,0.53,-0.65,-0.12,0.54,852182,16:52:12.123707
36,0.46,0.58,0.26,-21.50,-12.00,3.75,6.68,9.73,-3.52,0.53,-0.65,-0.12,0.54,852286,16:52:12.226483
37,0.49,-0.83,0.75,-21.50,-12.00,3.75,6.68,9.73,-3.52,0.53,-0.65,-0.12,0.54,852360,16:52:12.302389
38,0.39,-1.88,1.66,-21.50,-12.00,3.75,6.68,9.73,-3.52,0.53,-0.65,-0.12,0.54,852417,16:52:12.359607
39,0.39,-1.88,1.66,-21.50,-12.00,3.75,4.88,10.80,-0.49,0.53,-0.65,-0.12,0.54,852471,16:52:12.413602
40,0.39,-1.88,1.66,-21.50,-12.00,3.75,3.54,10.50,-0.14,0.53,-0.65,-0.12,0.54,852511,16:52:12.456815
41,-0.57,-1.90,2.04,-21.50,-12.00,3.75,3.54,10.50,-0.14,0.53,-0.65,-0.12,0.54,852584,16:52:12.529113
42,-0.57,-1.90,2.04,-21.50,-12.00,3.75,1.97,8.20,-1.68,0.53,-0.65,-0.12,0.54,852809,16:52:12.755414
43,-0.57,-1.90,2.04,-21.50,-12.00,3.75,0.36,7.24,-1.45,0.53,-0.65,-0.12,0.54,852882,16:52:12.787574
44,-0.57,-1.90,2.04,-21.50,-12.00,3.75,2.32,12.95,-1.83,0.53,-0.65,-0.12,0.54,853001,16:52:12.946366
45,-1.06,2.35,-2.49,-21.50,-12.00,3.75,2.32,12.95,-1.83,0.53,-0.65,-0.12,0.54,853043,16:52:12.985231
46,-1.06,2.35,-2.49,6.44,-11.56,9.06,2.32,12.95,-1.83,0.53,-0.65,-0.12,0.54,853099,16:52:13.043410
47,-0.65,2.03,-1.16,6.44,-11.56,9.06,2.32,12.95,-1.83,0.53,-0.65,-0.12,0.54,853149,16:52:13.092254
48,-0.67,1.71,-0.44,6.44,-11.56,9.06,2.32,12.95,-1.83,0.53,-0.65,-0.12,0.54,853201,16:52:13.143288
49,-0.19,0.18,-0.39,6.44,-11.56,9.06,2.32,12.95,-1.83,0.53,-0.65,-0.12,0.54,853242,16:52:13.183665
50,-0.19,0.18,-0.39,8.63,-11.94,10.25,2.32,12.95,-1.83,0.53,-0.65,-0.12,0.54,853285,16:52:13.231283
51,0.29,1.40,-0.64,8.63,-11.94,10.25,2.32,12.95,-1.83,0.53,-0.65,-0.12,0.54,853336,16:52:13.279781
52,0.29,1.40,-0.64,8.63,-11.94,10.25,5.38,11.04,-2.59,0.53,-0.65,-0.12,0.54,853379,16:52:13.323160
53,0.59,0.62,0.35,8.63,-11.94,10.25,5.38,11.04,-2.59,0.53,-0.65,-0.12,0.54,853478,16:52:13.417767
54,0.59,0.62,0.35,8.63,-11.94,10.25,5.69,13.68,-3.13,0.53,-0.65,-0.12,0.54,853619,16:52:13.560019
55,0.59,0.62,0.35,8.63,-11.94,10.25,6.34,9.73,-2.33,0.53,-0.65,-0.12,0.54,853856,16:52:13.797329
56,0.59,0.62,0.35,8.63,-11.94,10.25,4.88,10.23,-1.60,0.53,-0.65,-0.12,0.54,854360,16:52:14.298743
57,0.59,0.62,0.35,8.63,-11.94,10.25,-0.09,9.31,-1.68,0.53,-0.65,-0.12,0.54,854414,16:52:14.341995
58,0.59,0.62,0.35,8.63,-11.94,10.25,4.81,8.77,-2.98,0.53,-0.65,-0.12,0.54,854458,16:52:14.398338
59,0.59,0.62,0.35,8.63,-11.94,10.25,5.04,8.58,-4.05,0.53,-0.65,-0.12,0.54,855249,16:52:15.191870
60,0.59,0.62,0.35,8.63,-11.94,10.25,4.77,9.96,-3.67,0.53,-0.65,-0.12,0.54,855655,16:52:15.593121
61,-0.44,1.15,-2.47,8.63,-11.94,10.25,4.77,9.96,-3.67,0.53,-0.65,-0.12,0.54,855720,16:52:15.664246
62,-0.44,1.15,-2.47,-3.00,-5.12,12.63,4.77,9.96,-3.67,0.53,-0.65,-0.12,0.54,855765,16:52:15.710229
63,-0.44,1.15,-2.47,-3.00,-5.12,12.63,4.39,11.57,-2.52,0.53,-0.65,-0.12,0.54,855815,16:52:15.756168
64,-0.44,1.15,-2.47,-3.00,-5.12,12.63,4.66,10.04,-3.29,0.53,-0.65,-0.12,0.54,855870,16:52:15.812325
65,-0.44,1.15,-2.47,-3.00,-5.12,12.63,4.43,11.15,-2.79,0.53,-0.65,-0.12,0.54,855921,16:52:15.862766
66,-0.44,1.15,-2.47,-3.00,-5.12,12.63,4.16,10.57,-1.25,0.53,-0.65,-0.12,0.54,856184,16:52:16.126377
67,-0.44,1.15,-2.47,-3.00,-5.12,12.63,4.31,9.69,-0.64,0.53,-0.65,-0.12,0.54,856343,16:52:16.280079
68,-0.22,-0.58,-0.87,-3.00,-5.12,12.63,4.31,9.69,-0.64,0.53,-0.65,-0.12,0.54,856397,16:52:16.342901
69,-1.13,1.46,-2.65,-3.00,-5.12,12.63,4.31,9.69,-0.64,0.53,-0.65,-0.12,0.54,856504,16:52:16.425296
70,-1.13,1.46,-2.65,-3.00,-5.12,12.63,4.88,9.85,-4.74,0.53,-0.65,-0.12,0.54,856746,16:52:16.687006
71,0.41,2.75,-1.70,-3.00,-5.12,12.63,4.88,9.85,-4.74,0.53,-0.65,-0.12,0.54,856791,16:52:16.733420
72,0.41,2.75,-1.70,-3.00,-5.12,12.63,6.72,9.12,-1.37,0.53,-0.65,-0.12,0.54,857083,16:52:17.023416
73,0.28,0.76,0.10,-3.00,-5.12,12.63,6.72,9.12,-1.37,0.53,-0.65,-0.12,0.54,857538,16:52:17.475968
74,0.28,0.76,0.10,-3.00,-5.12,12.63,3.31,9.08,-0.60,0.53,-0.65,-0.12,0.54,857602,16:52:17.532128
75,0.28,0.76,0.10,-3.00,-5.12,12.63,1.59,10.88,-4.43,0.53,-0.65,-0.12,0.54,857639,16:52:17.583730
76,0.28,0.76,0.10,-3.00,-5.12,12.63,3.12,8.43,-2.52,0.53,-0.65,-0.12,0.54,857723,16:52:17.666119
77,0.28,0.76,0.10,-3.00,-5.12,12.63,3.28,8.93,-1.29,0.53,-0.65,-0.12,0.54,857770,16:52:17.707614
78,0.28,0.76,0.10,-3.00,-5.12,12.63,4.81,9.12,-0.14,0.53,-0.65,-0.12,0.54,858147,16:52:18.077429
79,0.28,0.76,0.10,-3.00,-5.12,12.63,5.88,8.24,0.09,0.53,-0.65,-0.12,0.54,858212,16:52:18.151936
80,-0.15,-2.57,2.43,-3.00,-5.12,12.63,5.88,8.24,0.09,0.53,-0.65,-0.12,0.54,858288,16:52:18.211295
81,-0.15,-2.57,2.43,-3.00,-5.12,12.63,3.77,11.61,0.51,0.53,-0.65,-0.12,0.54,858814,16:52:18.757301
82,-0.15,-2.57,2.43,-3.00,-5.12,12.63,2.24,9.43,-1.06,0.53,-0.65,-0.12,0.54,858856,16:52:18.794502
83,-0.15,-2.57,2.43,-3.00,-5.12,12.63,4.20,7.70,-1.95,0.53,-0.65,-0.12,0.54,858885,16:52:18.830342
84,0.47,2.60,-1.71,-3.00,-5.12,12.63,4.20,7.70,-1.95,0.53,-0.65,-0.12,0.54,858924,16:52:18.863405
85,0.47,2.60,-1.71,-3.00,-5.12,12.63,4.43,9.20,-1.02,0.53,-0.65,-0.12,0.54,858952,16:52:18.897647
86,0.47,2.60,-1.71,-3.00,-5.12,12.63,4.85,9.08,-0.64,0.53,-0.65,-0.12,0.54,859120,16:52:19.065813
87,-0.04,2.13,-1.42,-3.00,-5.12,12.63,4.85,9.08,-0.64,0.53,-0.65,-0.12,0.54,859486,16:52:19.417063
88,-0.04,2.13,-1.42,-3.00,-5.12,12.63,6.49,9.39,-1.37,0.53,-0.65,-0.12,0.54,859589,16:52:19.525134
89,-0.04,2.13,-1.42,-3.00,-5.12,12.63,3.77,8.50,-0.99,0.53,-0.65,-0.12,0.54,859842,16:52:19.781187
90,-0.04,2.13,-1.42,-3.00,-5.12,12.63,1.21,7.43,-2.56,0.53,-0.65,-0.12,0.54,859955,16:52:19.894965
91,-0.04,2.13,-1.42,-3.00,-5.12,12.63,3.62,10.15,-4.39,0.53,-0.65,-0.12,0.54,860004,16:52:19.947379
92,0.18,1.58,-1.75,-3.00,-5.12,12.63,3.62,10.15,-4.39,0.53,-0.65,-0.12,0.54,860044,16:52:19.987207
93,-0.34,2.15,-1.38,-3.00,-5.12,12.63,3.62,10.15,-4.39,0.53,-0.65,-0.12,0.54,860089,16:52:20.032813
94,-0.34,2.15,-1.38,-3.00,-5.12,12.63,4.58,8.58,-1.18,0.53,-0.65,-0.12,0.54,860562,16:52:20.504845
95,-0.46,2.39,-1.12,-3.00,-5.12,12.63,4.58,8.58,-1.18,0.53,-0.65,-0.12,0.54,860983,16:52:20.918482
96,-0.12,-0.96,2.47,-3.00,-5.12,12.63,4.58,8.58,-1.18,0.53,-0.65,-0.12,0.54,861035,16:52:20.978947
97,-0.12,-0.96,2.47,-3.00,-5.12,12.63,3.39,10.84,-2.33,0.53,-0.65,-0.12,0.54,861080,16:52:21.020892
98,-0.04,1.34,-2.22,-3.00,-5.12,12.63,3.39,10.84,-2.33,0.53,-0.65,-0.12,0.54,861135,16:52:21.082112
99,-0.04,1.34,-2.22,-3.00,-5.12,12.63,4.62,9.62,-3.71,0.53,-0.65,-0.12,0.54,861445,16:52:21.387354
100,-0.04,1.34,-2.22,-3.00,-5.12,12.63,3.43,9.08,-1.21,0.53,-0.65,-0.12,0.54,861528,16:52:21.456718
101,-0.04,1.34,-2.22,-3.00,-5.12,12.63,5.92,9.77,-0.45,0.53,-0.65,-0.12,0.54,861649,16:52:21.593843
102,-0.04,1.34,-2.22,-3.00,-5.12,12.63,5.00,13.45,-0.34,0.53,-0.65,-0.12,0.54,862246,16:52:22.188235
103,-0.52,-1.13,2.29,-3.00,-5.12,12.63,5.00,13.45,-0.34,0.53,-0.65,-0.12,0.54,862506,16:52:22.446077
104,-0.02,2.47,-1.79,-3.00,-5.12,12.63,5.00,13.45,-0.34,0.53,-0.65,-0.12,0.54,862579,16:52:22.520044
105,0.02,0.81,-0.76,-3.00,-5.12,12.63,5.00,13.45,-0.34,0.53,-0.65,-0.12,0.54,862871,16:52:22.814890
106,0.02,0.81,-0.76,-3.00,-5.12,12.63,6.65,9.73,-2.94,0.53,-0.65,-0.12,0.54,863200,16:52:23.118739
