,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,-0.30,-1.63,1.68,3.37,-7.56,-3.37,3.96,10.08,-3.86,0.48,-0.62,0.12,0.61,376539,16:44:16.499719
1,-0.30,-1.63,1.68,3.37,-7.56,-3.37,1.13,8.66,-1.91,0.48,-0.62,0.12,0.61,377614,16:44:17.571805
2,-0.30,-1.63,1.68,3.37,-7.56,-3.37,3.62,8.89,-2.14,0.48,-0.62,0.12,0.61,377658,16:44:17.618288
3,0.02,-0.00,-0.00,3.37,-7.56,-3.37,3.62,8.89,-2.14,0.48,-0.62,0.12,0.61,377752,16:44:17.714629
4,0.02,-0.00,-0.00,3.37,-7.56,-3.37,3.70,8.85,-2.18,0.48,-0.62,0.12,0.61,377818,16:44:17.777943
5,0.02,-0.00,-0.00,3.37,-7.56,-3.37,3.62,8.85,-2.10,0.48,-0.62,0.12,0.61,377883,16:44:17.843867
6,0.02,0.00,-0.01,3.37,-7.56,-3.37,3.62,8.85,-2.10,0.48,-0.62,0.12,0.61,377931,16:44:17.885600
7,0.02,0.00,-0.01,3.37,-7.56,-3.37,3.70,8.85,-2.06,0.48,-0.62,0.12,0.61,377992,16:44:17.952738
8,0.02,0.00,-0.01,3.37,-7.56,-3.37,3.66,8.85,-2.14,0.48,-0.62,0.12,0.61,378044,16:44:17.998071
9,0.02,0.00,-0.01,3.37,-7.56,-3.37,3.73,8.81,-2.18,0.48,-0.62,0.12,0.61,378094,16:44:18.053781
10,0.02,0.00,-0.01,3.37,-7.56,-3.37,3.70,8.85,-2.21,0.48,-0.62,0.12,0.61,378143,16:44:18.102678
11,0.02,0.00,-0.01,3.37,-7.56,-3.37,3.62,8.96,-2.14,0.48,-0.62,0.12,0.61,378204,16:44:18.166209
12,0.02,0.00,-0.01,3.37,-7.56,-3.37,3.70,8.77,-2.37,0.48,-0.62,0.12,0.61,378234,16:44:18.195627
13,0.04,-0.05,0.01,3.37,-7.56,-3.37,3.70,8.77,-2.37,0.48,-0.62,0.12,0.61,378272,16:44:18.233423
14,0.04,-0.05,0.01,3.37,-7.56,-3.37,3.77,8.81,-2.06,0.48,-0.62,0.12,0.61,378296,16:44:18.259836
15,0.06,0.04,0.03,3.37,-7.56,-3.37,3.77,8.81,-2.06,0.48,-0.62,0.12,0.61,378366,16:44:18.320369
16,0.04,0.01,0.04,3.37,-7.56,-3.37,3.77,8.81,-2.06,0.48,-0.62,0.12,0.61,378494,16:44:18.424179
17,-0.01,0.05,0.01,3.37,-7.56,-3.37,3.77,8.81,-2.06,0.48,-0.62,0.12,0.61,378536,16:44:18.492890
18,-0.01,0.05,0.01,3.37,-7.56,-3.37,3.77,8.85,-2.14,0.48,-0.62,0.12,0.61,378585,16:44:18.547613
19,-0.01,0.05,0.01,3.37,-7.56,-3.37,3.66,8.89,-2.25,0.48,-0.62,0.12,0.61,378666,16:44:18.626630
20,-0.01,0.05,0.01,3.37,-7.56,-3.37,3.70,8.81,-2.25,0.48,-0.62,0.12,0.61,378696,16:44:18.658355
21,-0.01,0.05,0.01,3.37,-7.56,-3.37,3.77,8.89,-2.21,0.48,-0.62,0.12,0.61,378726,16:44:18.685777
22,-0.01,0.05,0.01,3.37,-7.56,-3.37,3.85,8.85,-2.25,0.48,-0.62,0.12,0.61,378765,16:44:18.728297
23,0.02,0.03,-0.01,3.37,-7.56,-3.37,3.85,8.85,-2.25,0.48,-0.62,0.12,0.61,378802,16:44:18.764208
24,0.02,0.03,-0.01,3.37,-7.56,-3.37,3.85,8.85,-2.18,0.48,-0.62,0.12,0.61,378908,16:44:18.871534
25,0.02,0.01,0.03,3.37,-7.56,-3.37,3.85,8.85,-2.18,0.48,-0.62,0.12,0.61,378970,16:44:18.930236
