,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,0.49,0.15,0.77,13.63,-12.81,-9.81,2.25,5.86,5.68,0.18,-0.36,-0.56,0.73,873471,15:00:33.441305
1,0.49,0.15,0.77,13.63,-12.81,-9.81,0.48,7.01,7.10,0.18,-0.36,-0.56,0.73,873546,15:00:33.526351
2,0.49,0.15,0.77,13.63,-12.81,-9.81,6.72,7.06,1.91,0.18,-0.36,-0.56,0.73,873604,15:00:33.592415
3,-0.04,-0.00,0.04,13.63,-12.81,-9.81,6.72,7.06,1.91,0.18,-0.36,-0.56,0.73,873727,15:00:33.715932
4,-0.08,-0.06,0.02,13.63,-12.81,-9.81,6.72,7.06,1.91,0.18,-0.36,-0.56,0.73,873856,15:00:33.841004
5,-0.08,-0.06,0.02,13.63,-12.81,-9.81,6.64,6.95,1.68,0.18,-0.36,-0.56,0.73,873925,15:00:33.907653
6,0.08,0.05,-0.01,13.63,-12.81,-9.81,6.64,6.95,1.68,0.18,-0.36,-0.56,0.73,873968,15:00:33.949210
7,0.08,0.05,-0.01,13.63,-12.81,-9.81,6.72,6.91,1.98,0.18,-0.36,-0.56,0.73,874015,15:00:34.002929
8,0.08,0.05,-0.01,13.63,-12.81,-9.81,6.91,7.02,2.21,0.18,-0.36,-0.56,0.73,874133,15:00:34.120601
9,0.08,0.05,-0.01,13.63,-12.81,-9.81,6.64,7.06,2.06,0.18,-0.36,-0.56,0.73,874198,15:00:34.182071
10,0.08,0.05,-0.01,13.63,-12.81,-9.81,6.45,6.95,1.91,0.18,-0.36,-0.56,0.73,874240,15:00:34.224474
11,-0.04,-0.02,-0.02,13.63,-12.81,-9.81,6.45,6.95,1.91,0.18,-0.36,-0.56,0.73,874426,15:00:34.414437
12,-0.04,-0.02,-0.02,13.63,-12.81,-9.81,6.45,7.06,1.71,0.18,-0.36,-0.56,0.73,874477,15:00:34.458470
13,-0.04,-0.02,-0.02,13.63,-12.81,-9.81,7.03,6.95,2.10,0.18,-0.36,-0.56,0.73,874504,15:00:34.492494
14,-0.04,-0.02,-0.02,13.63,-12.81,-9.81,7.03,6.87,1.87,0.18,-0.36,-0.56,0.73,874545,15:00:34.536017
15,-0.05,-0.02,0.03,13.63,-12.81,-9.81,7.03,6.87,1.87,0.18,-0.36,-0.56,0.73,874588,15:00:34.578424
16,-0.05,0.03,0.05,13.63,-12.81,-9.81,7.03,6.87,1.87,0.18,-0.36,-0.56,0.73,874628,15:00:34.613610
17,-0.05,0.03,0.05,13.63,-12.81,-9.81,6.61,7.14,1.75,0.18,-0.36,-0.56,0.73,874673,15:00:34.657758
18,-0.07,-0.01,0.01,13.63,-12.81,-9.81,6.61,7.14,1.75,0.18,-0.36,-0.56,0.73,874709,15:00:34.699076
19,-0.07,-0.01,0.01,13.63,-12.81,-9.81,6.64,6.95,1.45,0.18,-0.36,-0.56,0.73,874748,15:00:34.735020
20,0.01,0.04,-0.00,13.63,-12.81,-9.81,6.64,6.95,1.45,0.18,-0.36,-0.56,0.73,874838,15:00:34.824296
21,0.01,0.04,-0.00,13.63,-12.81,-9.81,6.61,7.02,1.68,0.18,-0.36,-0.56,0.73,874889,15:00:34.875077
22,0.01,0.04,-0.00,13.63,-12.81,-9.81,6.68,6.98,1.75,0.18,-0.36,-0.56,0.73,874936,15:00:34.924494
23,0.00,0.08,-0.05,13.63,-12.81,-9.81,6.68,6.98,1.75,0.18,-0.36,-0.56,0.73,875065,15:00:35.047648
24,0.00,0.08,-0.05,13.63,-12.81,-9.81,6.53,6.91,1.79,0.18,-0.36,-0.56,0.73,875157,15:00:35.111129
25,0.00,0.08,-0.05,13.63,-12.81,-9.81,6.76,6.83,2.21,0.18,-0.36,-0.56,0.73,875222,15:00:35.209390
26,0.03,0.16,-0.07,13.63,-12.81,-9.81,6.76,6.83,2.21,0.18,-0.36,-0.56,0.73,875380,15:00:35.366192
27,0.03,0.16,-0.07,13.63,-12.81,-9.81,6.19,7.14,2.44,0.18,-0.36,-0.56,0.73,875430,15:00:35.408732
28,0.03,0.16,-0.07,13.63,-12.81,-9.81,5.65,7.40,3.71,0.18,-0.36,-0.56,0.73,875469,15:00:35.457603
29,0.03,0.16,-0.07,13.63,-12.81,-9.81,5.38,7.59,3.59,0.18,-0.36,-0.56,0.73,875523,15:00:35.513078
30,0.03,0.16,-0.07,13.63,-12.81,-9.81,5.84,7.59,4.93,0.18,-0.36,-0.56,0.73,875567,15:00:35.549151
31,0.03,0.16,-0.07,13.63,-12.81,-9.81,6.03,7.98,5.73,0.18,-0.36,-0.56,0.73,875655,15:00:35.615646
32,0.03,0.16,-0.07,13.63,-12.81,-9.81,4.81,8.29,6.85,0.18,-0.36,-0.56,0.73,875712,15:00:35.692959
33,-1.49,0.97,-0.47,13.63,-12.81,-9.81,4.81,8.29,6.85,0.18,-0.36,-0.56,0.73,875754,15:00:35.732919
34,-1.49,0.97,-0.47,11.31,8.00,19.94,4.81,8.29,6.85,0.18,-0.36,-0.56,0.73,875797,15:00:35.782352
35,-1.03,1.79,-0.36,11.31,8.00,19.94,4.81,8.29,6.85,0.18,-0.36,-0.56,0.73,875834,15:00:35.819018
36,-1.03,1.79,-0.36,11.31,8.00,19.94,3.73,6.98,7.00,0.18,-0.36,-0.56,0.73,875891,15:00:35.873617
37,-1.03,1.79,-0.36,11.31,8.00,19.94,4.31,6.75,7.30,0.18,-0.36,-0.56,0.73,875932,15:00:35.915930
38,-1.03,1.79,-0.36,11.31,8.00,19.94,2.51,5.68,7.04,0.18,-0.36,-0.56,0.73,875977,15:00:35.961040
39,-1.03,1.79,-0.36,11.31,8.00,19.94,2.39,4.99,7.15,0.18,-0.36,-0.56,0.73,876015,15:00:36.003417
40,-1.03,1.79,-0.36,11.31,8.00,19.94,0.17,4.30,8.53,0.18,-0.36,-0.56,0.73,876055,15:00:36.040812
41,-1.03,1.79,-0.36,11.31,8.00,19.94,0.02,4.72,9.49,0.18,-0.36,-0.56,0.73,876115,15:00:36.097336
42,-1.03,1.79,-0.36,11.31,8.00,19.94,0.36,4.80,9.38,0.18,-0.36,-0.56,0.73,876162,15:00:36.148918
43,-1.03,1.79,-0.36,11.31,8.00,19.94,0.52,3.65,7.00,0.18,-0.36,-0.56,0.73,876206,15:00:36.190935
44,-1.03,1.79,-0.36,6.44,8.75,19.50,0.52,3.65,7.00,0.18,-0.36,-0.56,0.73,876374,15:00:36.358541
45,-0.88,0.26,-0.44,6.44,8.75,19.50,0.52,3.65,7.00,0.18,-0.36,-0.56,0.73,876444,15:00:36.398704
46,-0.88,0.26,-0.44,6.44,8.75,19.50,1.44,4.19,9.84,0.18,-0.36,-0.56,0.73,876621,15:00:36.610007
47,-0.33,-0.10,0.60,6.44,8.75,19.50,1.44,4.19,9.84,0.18,-0.36,-0.56,0.73,876669,15:00:36.650524
48,-0.33,-0.10,0.60,6.44,8.75,19.50,0.86,1.93,6.58,0.18,-0.36,-0.56,0.73,877128,15:00:37.115376
49,-0.33,-0.10,0.60,6.44,8.75,19.50,-0.33,2.96,8.95,0.18,-0.36,-0.56,0.73,877188,15:00:37.166465
50,-0.33,-0.10,0.60,6.44,8.75,19.50,-0.40,6.33,9.11,0.18,-0.36,-0.56,0.73,877229,15:00:37.215519
51,-0.33,-0.10,0.60,6.44,8.75,19.50,1.47,6.14,9.80,0.18,-0.36,-0.56,0.73,877277,15:00:37.265532
52,-0.33,-0.10,0.60,6.44,8.75,19.50,0.90,5.68,9.14,0.18,-0.36,-0.56,0.73,877321,15:00:37.307194
53,-0.33,-0.10,0.60,6.44,8.75,19.50,3.27,4.61,7.77,0.18,-0.36,-0.56,0.73,877365,15:00:37.348892
54,-0.33,-0.10,0.60,6.44,8.75,19.50,2.47,4.38,7.96,0.18,-0.36,-0.56,0.73,877432,15:00:37.407731
55,-0.33,-0.10,0.60,-4.81,7.00,16.44,2.47,4.38,7.96,0.18,-0.36,-0.56,0.73,877485,15:00:37.474189
56,-0.33,-0.10,0.60,-4.81,7.00,16.44,2.24,2.43,4.55,0.18,-0.36,-0.56,0.73,877530,15:00:37.508770
57,-0.33,-0.10,0.60,-4.81,7.00,16.44,3.96,2.31,3.90,0.18,-0.36,-0.56,0.73,877748,15:00:37.732081
58,-0.33,-0.10,0.60,-4.81,7.00,16.44,5.92,3.92,6.20,0.18,-0.36,-0.56,0.73,877801,15:00:37.777749
59,0.69,-0.57,1.36,-4.81,7.00,16.44,5.92,3.92,6.20,0.18,-0.36,-0.56,0.73,877876,15:00:37.857826
60,0.69,-0.57,1.36,-4.81,7.00,16.44,6.41,4.00,2.67,0.18,-0.36,-0.56,0.73,878038,15:00:38.014977
61,0.69,-0.57,1.36,-4.81,7.00,16.44,6.19,6.29,5.16,0.18,-0.36,-0.56,0.73,878096,15:00:38.075306
62,0.69,-0.57,1.36,-4.81,7.00,16.44,5.42,6.98,6.58,0.18,-0.36,-0.56,0.73,878157,15:00:38.141093
63,1.84,0.09,0.15,-4.81,7.00,16.44,5.42,6.98,6.58,0.18,-0.36,-0.56,0.73,878281,15:00:38.265859
64,1.84,0.09,0.15,-4.81,7.00,16.44,5.77,8.36,8.04,0.18,-0.36,-0.56,0.73,878438,15:00:38.423836
65,1.84,0.09,0.15,-4.81,7.00,16.44,8.48,9.55,8.49,0.18,-0.36,-0.56,0.73,878508,15:00:38.491251
66,1.84,0.09,0.15,-4.81,7.00,16.44,7.60,7.71,3.74,0.18,-0.36,-0.56,0.73,878568,15:00:38.555127
67,1.84,0.09,0.15,-4.81,7.00,16.44,7.41,7.14,3.63,0.18,-0.36,-0.56,0.73,878614,15:00:38.598108
68,1.84,0.09,0.15,-13.88,6.44,19.44,7.41,7.14,3.63,0.18,-0.36,-0.56,0.73,878663,15:00:38.647724
69,-1.57,0.66,-0.61,-13.88,6.44,19.44,7.41,7.14,3.63,0.18,-0.36,-0.56,0.73,878718,15:00:38.707785
70,-1.58,0.61,-0.66,-13.88,6.44,19.44,7.41,7.14,3.63,0.18,-0.36,-0.56,0.73,878875,15:00:38.846009
71,-1.35,0.43,-0.43,-13.88,6.44,19.44,7.41,7.14,3.63,0.18,-0.36,-0.56,0.73,878961,15:00:38.940503
72,-1.35,0.43,-0.43,-13.88,6.44,19.44,8.83,4.15,0.64,0.18,-0.36,-0.56,0.73,879138,15:00:39.122238
73,1.41,-0.49,0.31,-13.88,6.44,19.44,8.83,4.15,0.64,0.18,-0.36,-0.56,0.73,879351,15:00:39.335809
74,1.41,-0.49,0.31,-13.88,6.44,19.44,6.91,6.48,5.28,0.18,-0.36,-0.56,0.73,879420,15:00:39.407788
75,1.41,-0.49,0.31,-13.88,6.44,19.44,5.73,7.10,4.09,0.18,-0.36,-0.56,0.73,879596,15:00:39.584110
76,1.41,-0.49,0.31,-27.12,14.56,30.50,5.73,7.10,4.09,0.18,-0.36,-0.56,0.73,879673,15:00:39.657387
77,-1.94,0.09,-0.82,-27.12,14.56,30.50,5.73,7.10,4.09,0.18,-0.36,-0.56,0.73,879730,15:00:39.716348
78,-1.94,0.09,-0.82,-27.12,14.56,30.50,7.37,6.95,3.02,0.18,-0.36,-0.56,0.73,879850,15:00:39.834975
79,-1.94,0.09,-0.82,-27.12,14.56,30.50,7.18,7.06,3.21,0.18,-0.36,-0.56,0.73,879898,15:00:39.882003
80,-1.19,0.71,-0.92,-27.12,14.56,30.50,7.18,7.06,3.21,0.18,-0.36,-0.56,0.73,879945,15:00:39.932265
81,-1.19,0.71,-0.92,-27.12,14.56,30.50,6.00,5.68,3.55,0.18,-0.36,-0.56,0.73,880002,15:00:39.990484
82,-1.28,0.56,-0.91,-27.12,14.56,30.50,6.00,5.68,3.55,0.18,-0.36,-0.56,0.73,880209,15:00:40.192381
83,-1.28,0.56,-0.91,-27.12,14.56,30.50,6.53,5.49,2.25,0.18,-0.36,-0.56,0.73,880325,15:00:40.306677
84,0.70,0.11,0.46,-27.12,14.56,30.50,6.53,5.49,2.25,0.18,-0.36,-0.56,0.73,880366,15:00:40.354906
85,0.70,0.11,0.46,-27.12,14.56,30.50,7.45,5.22,2.10,0.18,-0.36,-0.56,0.73,880633,15:00:40.619510
86,2.87,-0.07,1.30,-27.12,14.56,30.50,7.45,5.22,2.10,0.18,-0.36,-0.56,0.73,880956,15:00:40.931972
87,2.87,-0.07,1.30,-27.12,14.56,30.50,6.57,7.98,4.51,0.18,-0.36,-0.56,0.73,881008,15:00:40.999150
88,2.87,-0.07,1.30,-27.12,14.56,30.50,7.53,7.21,3.13,0.18,-0.36,-0.56,0.73,881072,15:00:41.058104
89,2.87,-0.07,1.30,-27.12,14.56,30.50,6.95,7.40,3.13,0.18,-0.36,-0.56,0.73,881121,15:00:41.099177
90,-1.47,0.63,-0.87,-27.12,14.56,30.50,6.95,7.40,3.13,0.18,-0.36,-0.56,0.73,881153,15:00:41.140978
91,-1.60,0.44,-0.74,-27.12,14.56,30.50,6.95,7.40,3.13,0.18,-0.36,-0.56,0.73,881199,15:00:41.185383
92,-1.42,0.39,-0.60,-27.12,14.56,30.50,6.95,7.40,3.13,0.18,-0.36,-0.56,0.73,881260,15:00:41.248855
93,-1.42,0.39,-0.60,-27.12,14.56,30.50,7.79,5.22,1.68,0.18,-0.36,-0.56,0.73,881349,15:00:41.315148
94,-0.62,-0.51,-0.34,-27.12,14.56,30.50,7.79,5.22,1.68,0.18,-0.36,-0.56,0.73,881512,15:00:41.485496
95,-0.62,-0.51,-0.34,-27.12,14.56,30.50,5.92,4.99,1.71,0.18,-0.36,-0.56,0.73,881658,15:00:41.640660
96,1.49,-0.25,0.69,-27.12,14.56,30.50,5.92,4.99,1.71,0.18,-0.36,-0.56,0.73,881983,15:00:41.965131
97,0.77,-0.41,0.44,-27.12,14.56,30.50,5.92,4.99,1.71,0.18,-0.36,-0.56,0.73,882080,15:00:42.048030
98,0.77,-0.41,0.44,-27.12,14.56,30.50,3.81,8.71,4.62,0.18,-0.36,-0.56,0.73,882191,15:00:42.171207
99,0.77,-0.41,0.44,-27.12,14.56,30.50,7.60,8.17,4.51,0.18,-0.36,-0.56,0.73,882257,15:00:42.240122
100,0.77,-0.41,0.44,-27.12,14.56,30.50,6.49,7.02,3.17,0.18,-0.36,-0.56,0.73,882312,15:00:42.298979
101,0.77,-0.41,0.44,-27.12,14.56,30.50,6.38,6.14,3.29,0.18,-0.36,-0.56,0.73,882360,15:00:42.348860
102,-1.61,-0.28,-0.34,-27.12,14.56,30.50,6.38,6.14,3.29,0.18,-0.36,-0.56,0.73,882420,15:00:42.398297
103,-1.14,0.64,-0.27,-27.12,14.56,30.50,6.38,6.14,3.29,0.18,-0.36,-0.56,0.73,882484,15:00:42.473120
104,-0.98,0.19,-0.07,-27.12,14.56,30.50,6.38,6.14,3.29,0.18,-0.36,-0.56,0.73,882564,15:00:42.546251
105,-0.98,0.19,-0.07,-27.12,14.56,30.50,10.75,6.79,-0.28,0.18,-0.36,-0.56,0.73,882646,15:00:42.632319
106,0.85,-1.05,0.15,-27.12,14.56,30.50,10.75,6.79,-0.28,0.18,-0.36,-0.56,0.73,882927,15:00:42.908101
107,0.85,-1.05,0.15,-27.12,14.56,30.50,8.83,5.57,2.67,0.18,-0.36,-0.56,0.73,883040,15:00:43.023701
