,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,0.28,0.12,0.04,-10.06,20.44,22.94,4.13,6.05,0.83,0.21,-0.64,-0.52,0.52,1351126,15:08:31.095578
1,0.28,0.12,0.04,-10.06,20.44,22.94,6.55,7.73,2.10,0.21,-0.64,-0.52,0.52,1351180,15:08:31.148387
2,0.28,0.12,0.04,-10.06,20.44,22.94,4.07,8.93,-0.06,0.21,-0.64,-0.52,0.52,1351321,15:08:31.286799
3,0.28,0.12,0.04,-10.06,20.44,22.94,4.03,8.97,0.02,0.21,-0.64,-0.52,0.52,1351357,15:08:31.322780
4,0.28,0.12,0.04,14.31,9.31,18.81,4.03,8.97,0.02,0.21,-0.64,-0.52,0.52,1351417,15:08:31.389201
5,-0.04,-0.03,-0.03,14.31,9.31,18.81,4.03,8.97,0.02,0.21,-0.64,-0.52,0.52,1351494,15:08:31.464825
6,-0.05,-0.04,-0.03,14.31,9.31,18.81,4.03,8.97,0.02,0.21,-0.64,-0.52,0.52,1351565,15:08:31.507118
7,-0.05,-0.04,-0.03,14.31,9.31,18.81,4.18,8.97,-0.02,0.21,-0.64,-0.52,0.52,1351607,15:08:31.573284
8,-0.05,-0.04,-0.03,14.31,9.31,18.81,4.18,8.97,0.21,0.21,-0.64,-0.52,0.52,1351680,15:08:31.650479
9,0.01,-0.00,0.05,14.31,9.31,18.81,4.18,8.97,0.21,0.21,-0.64,-0.52,0.52,1351740,15:08:31.706737
10,0.01,-0.00,0.05,14.31,9.31,18.81,4.11,9.05,0.13,0.21,-0.64,-0.52,0.52,1351781,15:08:31.748462
11,0.01,-0.00,0.05,14.31,9.31,18.81,3.95,8.97,0.05,0.21,-0.64,-0.52,0.52,1351818,15:08:31.791209
12,0.01,-0.00,0.05,14.31,9.31,18.81,4.03,8.93,0.05,0.21,-0.64,-0.52,0.52,1351855,15:08:31.826540
13,-0.02,-0.03,-0.03,14.31,9.31,18.81,4.03,8.93,0.05,0.21,-0.64,-0.52,0.52,1351899,15:08:31.869436
14,0.01,-0.03,-0.02,14.31,9.31,18.81,4.03,8.93,0.05,0.21,-0.64,-0.52,0.52,1351950,15:08:31.915077
15,0.01,-0.03,-0.02,14.31,9.31,18.81,4.22,8.93,0.09,0.21,-0.64,-0.52,0.52,1351991,15:08:31.956885
16,0.03,-0.03,0.03,14.31,9.31,18.81,4.22,8.93,0.09,0.21,-0.64,-0.52,0.52,1352032,15:08:31.998033
17,0.03,-0.03,0.03,14.31,9.31,18.81,4.18,8.93,0.13,0.21,-0.64,-0.52,0.52,1352091,15:08:32.040043
18,0.03,-0.03,0.03,14.31,9.31,18.81,4.07,8.93,-0.02,0.21,-0.64,-0.52,0.52,1352160,15:08:32.116234
19,0.03,-0.03,0.03,14.31,9.31,18.81,3.99,8.97,0.02,0.21,-0.64,-0.52,0.52,1352202,15:08:32.173050
20,0.03,-0.03,0.03,14.31,9.31,18.81,4.11,8.93,0.05,0.21,-0.64,-0.52,0.52,1352245,15:08:32.206431
21,0.03,-0.03,0.03,14.31,9.31,18.81,4.11,8.93,0.29,0.21,-0.64,-0.52,0.52,1352313,15:08:32.281416
22,0.03,-0.03,0.03,14.31,9.31,18.81,4.14,9.01,0.09,0.21,-0.64,-0.52,0.52,1352358,15:08:32.323308
23,0.01,-0.05,-0.01,14.31,9.31,18.81,4.14,9.01,0.09,0.21,-0.64,-0.52,0.52,1352402,15:08:32.373202
24,0.01,-0.05,-0.01,14.31,9.31,18.81,4.30,9.05,0.21,0.21,-0.64,-0.52,0.52,1352445,15:08:32.414795
25,-0.12,-0.06,0.03,14.31,9.31,18.81,4.30,9.05,0.21,0.21,-0.64,-0.52,0.52,1352482,15:08:32.455532
26,-0.12,-0.06,0.03,14.31,9.31,18.81,4.03,8.86,-0.33,0.21,-0.64,-0.52,0.52,1352511,15:08:32.485946
27,-0.12,-0.06,0.03,14.31,9.31,18.81,4.07,8.86,-0.45,0.21,-0.64,-0.52,0.52,1352557,15:08:32.528407
28,-0.12,-0.06,0.03,14.31,9.31,18.81,4.07,8.86,-0.33,0.21,-0.64,-0.52,0.52,1352620,15:08:32.589544
29,0.11,0.11,-0.05,14.31,9.31,18.81,4.07,8.86,-0.33,0.21,-0.64,-0.52,0.52,1352650,15:08:32.619671
30,0.06,0.06,-0.06,14.31,9.31,18.81,4.07,8.86,-0.33,0.21,-0.64,-0.52,0.52,1352741,15:08:32.705244
31,0.08,0.06,-0.05,14.31,9.31,18.81,4.07,8.86,-0.33,0.21,-0.64,-0.52,0.52,1352808,15:08:32.777620
32,0.08,0.06,-0.05,14.31,9.31,18.81,4.14,8.97,0.21,0.21,-0.64,-0.52,0.52,1352883,15:08:32.847890
33,-0.03,-0.13,-0.04,14.31,9.31,18.81,4.14,8.97,0.21,0.21,-0.64,-0.52,0.52,1352953,15:08:32.919252
34,-0.03,-0.13,-0.04,14.31,9.31,18.81,4.07,8.86,-0.37,0.21,-0.64,-0.52,0.52,1352996,15:08:32.960634
35,-0.03,-0.13,-0.04,14.31,9.31,18.81,3.84,9.01,-0.10,0.21,-0.64,-0.52,0.52,1353031,15:08:33.002876
36,-0.03,-0.13,-0.04,14.31,9.31,18.81,4.11,8.86,0.09,0.21,-0.64,-0.52,0.52,1353075,15:08:33.047561
37,-0.03,-0.13,-0.04,14.31,9.31,18.81,3.84,8.93,0.44,0.21,-0.64,-0.52,0.52,1353114,15:08:33.081529
38,-0.03,-0.13,-0.04,15.75,7.12,16.75,3.84,8.93,0.44,0.21,-0.64,-0.52,0.52,1353158,15:08:33.131239
39,0.04,0.06,-0.15,15.75,7.12,16.75,3.84,8.93,0.44,0.21,-0.64,-0.52,0.52,1353213,15:08:33.181331
40,0.29,0.40,0.45,15.75,7.12,16.75,3.84,8.93,0.44,0.21,-0.64,-0.52,0.52,1353280,15:08:33.248417
