,Xg,Yg,Zg,Xm,Ym,Zm
0,0.00,0.01,-0.01,-22.00,25.62,-14.19
1,-0.00,-0.01,0.03,-22.00,25.62,-14.19
2,-0.00,-0.01,0.03,-21.62,25.31,-15.75
3,0.00,0.02,-0.04,-21.62,25.31,-15.75
4,0.00,0.02,-0.04,-21.62,23.44,-16.56
5,-0.00,-0.03,0.09,-21.62,23.44,-16.56
6,-0.00,-0.03,0.09,-21.62,24.56,-14.19
7,-0.00,0.01,-0.03,-21.62,24.56,-14.19
8,-0.00,0.01,-0.03,-20.87,23.81,-14.19
9,-0.01,0.00,0.01,-20.87,23.81,-14.19
10,-0.01,0.00,0.01,-20.12,24.56,-14.19
11,-0.01,0.01,-0.00,-20.12,24.56,-14.19
12,-0.01,0.01,-0.00,-21.25,25.31,-15.00
13,0.00,0.02,-0.04,-21.25,25.31,-15.00
14,0.00,0.02,-0.04,-20.12,24.56,-15.75
15,0.00,-0.03,0.07,-20.12,24.56,-15.75
16,0.00,-0.03,0.07,-20.12,25.31,-15.75
17,0.00,0.02,-0.06,-20.12,25.31,-15.75
18,0.00,0.02,-0.06,-21.25,25.31,-14.19
19,-0.00,0.00,-0.00,-21.25,25.31,-14.19
20,-0.00,0.00,-0.00,-22.00,24.94,-15.00
21,0.00,-0.01,0.03,-22.00,24.94,-15.00
22,0.00,-0.01,0.03,-21.25,24.56,-14.19
23,0.00,0.01,-0.04,-21.25,24.56,-14.19
24,0.00,0.01,-0.04,-21.25,24.19,-13.81
25,-0.01,-0.00,0.01,-21.25,24.19,-13.81
26,-0.01,-0.00,0.01,-22.00,24.94,-15.00
27,0.00,-0.00,0.01,-22.00,24.94,-15.00
28,0.00,-0.00,0.01,-20.87,25.31,-14.19
29,0.00,0.01,-0.02,-20.87,25.31,-14.19
30,0.00,0.01,-0.02,-20.87,24.56,-15.75
31,0.00,0.00,-0.00,-20.87,24.56,-15.75
32,0.00,0.00,-0.00,-20.87,24.94,-15.00
33,0.00,-0.03,0.05,-20.87,24.94,-15.00
34,0.00,-0.03,0.05,-21.25,24.56,-14.19
35,-0.00,0.02,-0.04,-21.25,24.56,-14.19
36,-0.00,0.02,-0.04,-21.25,24.19,-15.75
37,0.00,0.01,-0.04,-21.25,24.19,-15.75
38,0.00,0.01,-0.04,-22.00,23.81,-15.00
39,0.00,-0.03,0.06,-22.00,23.81,-15.00
