,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label
0,-0.01,0,-0.01,7.31,-14.94,-4.81,-9.08,3.36,1.41,-0.13,0.63,0.4,0.64,505758,0,T
1,-0.01,0,-0.01,7.31,-14.94,-4.81,-9.04,3.36,1.3,-0.13,0.63,0.4,0.64,505798,40,T
2,-0.01,0,-0.01,7.31,-14.94,-4.81,-9.08,3.36,1.41,-0.13,0.63,0.4,0.64,505837,79,T
3,-0.03,0.04,-0.06,7.31,-14.94,-4.81,-9.08,3.36,1.41,-0.13,0.63,0.4,0.64,505877,119,T
4,0.01,0.02,-0.02,7.31,-14.94,-4.81,-9.08,3.36,1.41,-0.13,0.63,0.4,0.64,505917,159,T
5,0.01,0.02,-0.02,7.31,-14.94,-4.81,-9.08,3.28,1.3,-0.13,0.63,0.4,0.64,505957,199,T
6,0.01,0.02,-0.02,7.31,-14.94,-4.81,-9.08,3.28,1.34,-0.13,0.63,0.4,0.64,505997,239,T
7,0.01,0.02,-0.02,7.31,-14.94,-4.81,-9.08,3.28,1.3,-0.13,0.63,0.4,0.64,506035,277,T
8,0,0,0,7.31,-14.94,-4.81,-9.08,3.28,1.3,-0.13,0.63,0.4,0.64,506074,316,T
9,0,0,0,7.31,-14.94,-4.81,-9.08,3.28,1.34,-0.13,0.63,0.4,0.64,506115,357,T
10,0,0,0,7.31,-14.94,-4.81,-9.08,3.28,1.34,-0.13,0.63,0.4,0.64,506155,397,T
11,0,0,0,7.31,-14.94,-4.81,-9.12,3.28,1.34,-0.13,0.63,0.4,0.64,506194,436,T
12,0,0,0,7.31,-14.94,-4.81,-9.08,3.28,1.3,-0.13,0.63,0.4,0.64,506232,474,T
13,0,0,0,7.31,-14.94,-4.81,-9.08,3.28,1.3,-0.13,0.63,0.4,0.64,506272,514,T
14,0.01,0.01,-0.01,7.31,-14.94,-4.81,-9.08,3.28,1.3,-0.13,0.63,0.4,0.64,506312,554,T
15,0.01,0.01,-0.01,7.31,-14.94,-4.81,-9.08,3.24,1.3,-0.13,0.63,0.4,0.64,506352,594,T
16,0.01,0.01,-0.01,7.31,-14.94,-4.81,-9.12,3.28,1.18,-0.13,0.63,0.4,0.64,506391,633,T
17,0.01,0.01,-0.01,7.31,-14.94,-4.81,-9.12,3.28,1.34,-0.13,0.63,0.4,0.64,506429,671,T
18,-0.02,0.02,-0.04,7.31,-14.94,-4.81,-9.12,3.28,1.34,-0.13,0.63,0.4,0.64,506468,710,T
19,0.04,0.04,-0.04,7.31,-14.94,-4.81,-9.12,3.28,1.34,-0.13,0.63,0.4,0.64,506508,750,T
20,0.04,0.04,-0.04,7.31,-14.94,-4.81,-9.12,3.24,1.57,-0.13,0.63,0.4,0.64,506548,790,T
21,0.04,0.04,-0.04,7.31,-14.94,-4.81,-9,3.16,1.18,-0.13,0.63,0.4,0.64,506586,828,T
