,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az,Xgg,Ygg,Zgg,Xaa,Yaa,Zaa
0,0.39,-0.24,0.31,104,-113.56,16.38,-9.78,3.74,3.64,-0.66,-0.04,0.74,0.11,347963,5375,W,0.382727006,-2.442228767,0.720028449,2.870172925,-1.63830852,-1.431081134,-0.04,-1.52,2.82,0,0,0
1,0.35,-1.76,3.13,104,-113.56,16.38,-9.78,3.74,3.64,-0.66,-0.04,0.74,0.11,348004,5416,W,0.093306382,-2.888601855,0.285883846,2.823058674,-2.097409962,-1.585898796,0,0,0,-2.14,-9.23,-4.17
2,0.35,-1.76,3.13,104,-113.56,16.38,-11.92,-5.49,-0.53,-0.66,-0.04,0.74,0.11,348046,5458,W,-0.208723864,2.929450715,-0.164743504,2.716386091,-2.523828886,-1.42519362,0,0,0,-0.54,3.06,3.1
3,0.35,-1.76,3.13,104,-113.56,16.38,-12.46,-2.43,2.57,-0.66,-0.04,0.74,0.11,348089,5501,W,-0.488897593,2.454285692,-0.623010864,2.600017196,-2.911150491,-0.210576728,0,0,0,0.69,-0.11,-2.22
4,0.35,-1.76,3.13,104,-113.56,16.38,-11.77,-2.54,0.35,-0.66,-0.04,0.74,0.11,348132,5544,W,-0.711141522,1.979496634,-1.07866487,2.514614584,3.037980196,-0.02828152,0,0,0,2.84,0.15,2.38
5,0.35,-1.76,3.13,104,-113.56,16.38,-8.93,-2.39,2.73,-0.66,-0.04,0.74,0.11,348174,5586,W,-0.858315616,1.515793776,-1.521010498,2.499269301,2.784937216,-0.210202506,-0.06,2.03,-2.92,0,0,0
6,0.29,0.27,0.21,104,-113.56,16.38,-8.93,-2.39,2.73,-0.66,-0.04,0.74,0.11,348216,5628,W,-0.946944322,1.072415381,-1.939648554,2.576552945,2.660989716,-0.462895918,-0.08,-0.26,-0.05,0,0,0
7,0.21,0.01,0.16,104,-113.56,16.38,-8.93,-2.39,2.73,-0.66,-0.04,0.74,0.11,348257,5669,W,-1.037882164,0.652319773,-2.328146599,2.708139631,2.693715827,-0.720914535,0,0,0,-0.2,-0.04,-0.73
8,0.21,0.01,0.16,104,-113.56,16.38,-9.13,-2.43,2,-0.66,-0.04,0.74,0.11,348300,5712,W,-1.178418231,0.237670123,-2.69635909,2.807304048,2.772177708,-0.946294221,0,0,0,-0.34,0,-0.62
9,0.21,0.01,0.16,104,-113.56,16.38,-9.47,-2.43,1.38,-0.66,-0.04,0.74,0.11,348342,5754,W,-1.374716157,-0.222980135,-3.083047212,2.840045971,2.76711102,-1.084696987,0,0,0,0.08,0.04,0.08
10,0.21,0.01,0.16,104,-113.56,16.38,-9.39,-2.39,1.46,-0.66,-0.04,0.74,0.11,348384,5796,W,-1.635276826,-0.789821553,2.747216135,2.833507602,2.718702149,-1.040048148,0,0,0,0,-0.04,-0.11
11,0.21,0.01,0.16,104,-113.56,16.38,-9.39,-2.43,1.35,-0.66,-0.04,0.74,0.11,348425,5837,W,-1.986255947,-1.295787578,2.582679806,2.82135903,2.680677263,-0.74631315,-0.25,-0.05,0.03,0,0,0
12,-0.04,-0.04,0.19,104,-113.56,16.38,-9.39,-2.43,1.35,-0.66,-0.04,0.74,0.11,348466,5878,W,-2.460446087,-1.099221418,2.730786402,2.809477135,2.669544726,-0.47532605,-0.01,-0.05,0.02,0,0,0
13,-0.05,-0.09,0.21,104,-113.56,16.38,-9.39,-2.43,1.35,-0.66,-0.04,0.74,0.11,348509,5921,W,-3.053561091,-0.955286209,2.457522109,2.803635495,2.618374715,-0.355735494,0,0,0,-0.08,0.27,0.07
14,-0.05,-0.09,0.21,104,-113.56,16.38,-9.47,-2.16,1.42,-0.66,-0.04,0.74,0.11,348553,5965,W,2.612043182,-1.149446475,2.129851529,2.861563739,2.474422049,-0.284040321,0,0,0,-0.04,0.04,0.08
15,-0.05,-0.09,0.21,104,-113.56,16.38,-9.51,-2.12,1.5,-0.66,-0.04,0.74,0.11,348595,6007,W,2.070321959,-1.425069817,1.80112817,3.029345432,2.342129366,-0.306152404,0,0,0,-0.12,-0.11,-0.27
