,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az
0,0,0.01,-0.02,8.69,-108.94,-17.44,-9.16,-3.11,-0.03,-0.71,0.01,0.67,0.24,571106,5366,W,1.287070811,-1.871445791,2.775360453,2.785152443,2.813852768,1.920760617
1,0,0.01,-0.02,8.69,-108.94,-17.44,-9.16,-3.15,-0.03,-0.71,0.01,0.67,0.24,571148,5408,W,1.017071676,-2.123708668,2.720523745,2.786677488,2.806925498,1.327100694
2,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.16,-3.15,-0.03,-0.71,0.01,0.67,0.24,571189,5449,W,0.732386683,-1.076979904,2.549350369,2.789472891,2.798806143,0.770739767
3,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.16,-3.19,-0.03,-0.71,0.01,0.67,0.24,571230,5490,W,0.433617013,-0.211350871,2.304480094,2.793450206,2.792911891,0.243278175
4,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.13,-3.15,0.16,-0.71,0.01,0.67,0.24,571272,5532,W,0.122925149,-0.518569268,2.009411458,2.79775737,2.7912674,-0.263448428
5,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.13,-3.15,0.12,-0.71,0.01,0.67,0.24,571312,5572,W,-0.197266388,-0.912883697,1.67519185,2.801140707,2.793844876,-0.752704564
6,0.08,0.03,-0.01,8.69,-108.94,-17.44,-9.13,-3.15,0.12,-0.71,0.01,0.67,0.24,571353,5613,W,-0.52402601,-1.345084533,1.301635733,2.802222368,2.799446962,-1.218843246
7,0.08,0.03,-0.01,8.69,-108.94,-17.44,-9.24,-3.15,-0.03,-0.71,0.01,0.67,0.24,571395,5655,W,-0.85392681,-1.807742911,0.872901608,2.80009955,2.806472997,-1.649473104
8,0.03,-0.01,0,8.69,-108.94,-17.44,-9.24,-3.15,-0.03,-0.71,0.01,0.67,0.24,571437,5697,W,-1.183063212,-2.298389717,0.339740273,2.794996056,2.812868235,-2.018634843
9,0.03,-0.01,0,8.69,-108.94,-17.44,-9.2,-3.19,0.04,-0.71,0.01,0.67,0.24,571479,5739,W,-1.507819209,-2.842464616,-1.023382826,2.788727626,2.816018625,-2.272723612
10,0.03,-0.01,0,8.69,-108.94,-17.44,-9.24,-3.19,0,-0.71,0.01,0.67,0.24,571518,5778,W,-1.825274539,0.258431221,-2.826219662,2.784188345,2.813096908,-2.35270372
11,0.03,-0.01,0,16.63,-111.25,-31.94,-9.24,-3.19,0,-0.71,0.01,0.67,0.24,571559,5819,W,-2.163004564,-0.197460265,3.051490417,2.784327838,2.80272904,-2.405613908
12,-0.01,0,-0.01,16.63,-111.25,-31.94,-9.24,-3.19,0,-0.71,0.01,0.67,0.24,571601,5861,W,-2.59542526,-0.509804813,2.771495175,2.786976821,2.786688435,-2.687700085
13,-0.01,0,-0.01,16.63,-111.25,-31.94,-9.2,-3.23,-0.07,-0.71,0.01,0.67,0.24,571643,5903,W,-3.125759986,-0.816146705,2.475963136,2.793044147,2.771710442,-3.121714593
