,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az,Xgd,Ygd,Zgd,Xad,Yad,Zad,Xgdd,Ygdd,Zgdd,Xadd,Yadd,Zadd
0,0.26,1.03,-2.89,9.94,7.5,-10.44,-9.49,1.43,0.23,0.47,0.39,-0.32,0.73,2157968,2390,W,-1.427973353598087,2.977349093911404,2.035076229045262,0.28040951387329227,-1.8718697223127305,0.6928364011106682,2.689041880130776,2.274793413625882,1.0697434041674265,2.074842692942935,-0.4839379930106656,-2.737667498366588,1.1199130017149435,1.804091820066901,2.6745175945008417,0.9701492522506903,1.8791845167190442,1.6722855003261992
1,0.28,1.25,-2.79,9.94,7.5,-10.44,-9.49,1.43,0.23,0.47,0.39,-0.32,0.73,2158008,2430,W,-0.8711888831085655,-0.051482074731105755,-2.338988813886064,0.04806146098520633,1.5657705387929908,2.8540859581920146,2.335960155206598,-0.794420406919752,-2.746086460406943,1.8379147049618385,2.9014718580531693,-0.5252722325034871,0.6250761965464704,-1.6376613244075116,-1.24911108010455,0.5069770049833718,-1.1492695608383594,-2.24440862615497
2,0.28,1.25,-2.79,9.94,7.5,-10.44,-10.25,5.61,2.87,0.47,0.39,-0.32,0.73,2158047,2469,W,0.6377744299895769,-3.100982532200717,-0.58368071869418,-0.19971144857787662,-1.3297291794638262,-1.247941727426323,1.9735675983653878,2.498444679697558,-0.321463529022029,1.5301010003788071,0.03038265730355032,1.7430070564528712,0.1599082062590175,1.665449551741665,1.1118585549146451,0.07006562478241318,2.159234821451375,0.1456737863580142
3,0.28,1.25,-2.79,9.94,7.5,-10.44,-12.94,11.36,5.86,0.47,0.39,-0.32,0.73,2158088,2510,W,0.2930077853235644,0.11068704715687341,1.402455441726769,-0.46384252115852037,2.039097678866216,0.9662166749166712,1.6019151318292137,-0.4340128733736696,2.071658182857563,1.0561306265180652,-2.8107854696131196,-2.238478935162392,-0.29092920673355416,-1.239178563796219,-2.8153890545821394,-0.35295544688468783,-0.7828186893018677,2.549841546380934
4,0.28,1.25,-2.79,9.94,7.5,-10.44,3.46,25.41,5.25,0.47,0.39,-0.32,0.73,2158128,2550,W,-0.09482895424334861,-2.9984143472712383,-2.6969596375111378,-0.7412028122574124,-0.8911935008666785,-3.0537831154975286,1.2201013863257286,2.955993784787782,-1.8495072589814807,-1.2270236090024087,0.6932822673922614,0.06867077019529115,-0.7346821212483552,2.159388473549719,-0.4568947800529042,-0.7663122489281762,2.575468824860596,-1.314476032234888
5,1.04,1.6,0.97,9.94,7.5,-10.44,3.46,25.41,5.25,0.47,0.39,-0.32,0.73,2158168,2590,W,-0.48582230429448764,0.13746133183787715,-0.4159735109930236,-1.026286214741839,2.4536401210707544,-0.7490875524778208,0.826502720249332,0.046763818807065226,0.49687107410510667,-2.1167053591157496,-2.0249069312381787,2.3879669847504212,-1.174839944671742,-0.706472171747871,1.9036979551841293,-1.1708788213894576,-0.33278977042970015,1.127712618853068
6,1.04,1.6,0.97,9.94,7.5,-10.44,-9.49,1.51,1.3,0.47,0.39,-0.32,0.73,2158208,2630,W,-0.8746886639227721,3.0660868088449047,1.8692152028484594,-1.314817023279271,-0.44377146545635165,1.5699646470442399,0.41896892204444103,-2.8499862682204142,2.84565551688799,-2.507498971291167,1.6474275929626292,-1.57735237837829,-1.613167432374661,2.72595127808683,-2.0227584721317053,-1.5653325974816954,3.0586880877220075,-2.697846052587905
7,0.43,0.45,-0.05,9.94,7.5,-10.44,-9.49,1.51,1.3,0.47,0.39,-0.32,0.73,2158247,2669,W,-1.2644633741501548,-0.47477649325613197,-2.1822659787828402,-1.6060203506915867,2.9728775333920217,-2.391204435864913,-0.007144548746870912,0.5618935319382024,-1.0948776881849742,-2.8293062401103763,-0.927213069933608,0.7212441282129274,-2.0503495062154604,-0.12623887275003157,0.3320553385899707,-1.9455981849003412,0.16404242157589521,-0.23047099234732432
8,0.43,0.45,-0.05,9.94,7.5,-10.44,-9.53,1.2,0.96,0.47,0.39,-0.32,0.73,2158287,2709,W,-1.6552236733848376,2.4169165115860873,0.01789423654695598,-1.8996449458139073,0.14823738610049508,-0.05169250713266039,-0.46998533750708027,-2.265246174421173,1.205854290825419,-3.106092664115391,2.7877453602013413,3.002587304716479,-2.4871311910213465,-2.9822078706397646,2.6785640967521047,-2.303063947349158,-2.73101813181755,2.2422856213248594
9,0.43,0.45,-0.05,9.94,7.5,-10.44,-9.53,1.16,0.69,0.47,0.39,-0.32,0.73,2158325,2747,W,-2.04552308816288,-0.8087625887320457,2.196136273877306,-2.1947813235938924,-2.6788809461829226,2.267965519210862,-1.027777986817953,1.279471194627734,-2.7968605035848992,2.95437638330092,0.17474274526421632,-1.0507541488366674,-2.9302423378250624,0.44092269100884357,-1.269408747075169,-2.622676789126096,0.6509660266466213,-1.5544395765370496
10,-0.08,0.09,0.02,9.94,7.5,-10.44,-9.53,1.16,0.69,0.47,0.39,-0.32,0.73,2158366,2788,W,-2.4319162781384542,2.3872411254498154,-1.9505070054951947,-2.491317420488599,0.7955308089365062,-1.7425797603359783,-2.176809841587577,-1.2999795560264185,-0.6084874288336241,2.8088129924866103,-2.5209790851710254,1.1198435015393966,2.8556172366114225,-2.422662186648468,1.0473487779798185,-2.881214169274959,-2.2623626094069698,0.9309359691893714
11,-0.14,-0.05,0.09,9.94,7.5,-10.44,-9.53,1.16,0.69,0.47,0.39,-0.32,0.73,2158406,2828,W,-2.8107106776382866,-0.5714116323706906,0.1207965920155049,-2.7949626171155,-1.9178026824642511,0.5254215682957775,1.6544204263339315,2.7363374080153826,1.3855703005115498,2.7603302427875236,1.0300794211590665,-3.0081008434691903,1.802449841951209,1.017717740011845,-2.9786875087529996,0.014765564864390108,1.1788681259894354,-3.0125958468869896
12,-0.14,-0.05,0.09,9.94,7.5,-10.44,-9.53,1.24,0.73,0.47,0.39,-0.32,0.73,2158446,2868,W,3.102497065640194,2.844172606149175,2.039570205560307,-3.130309712375674,1.8627935382001415,2.6811171626980896,0.8576826711353944,0.14802931477731027,-2.8883333050621514,2.776348844913121,-1.8484608125429867,-0.8358035700982566,0.10179891614367256,-1.8024623988135766,-0.6796832579824048,-0.14874917978838134,-1.4388208951317956,-0.8359720719208377
13,-0.14,-0.05,0.09,9.94,7.5,-10.44,-9.53,1.28,0.77,0.47,0.39,-0.32,0.73,2158487,2909,W,2.726169923110642,0.05407403202831769,-2.584467365609151,2.7208716461913394,0.2236735992253973,-1.7790056236458849,0.4704939785421526,1.955656328200176,-0.7140183701461026,2.789826058759009,2.3339814244598425,-1.0979683009036234,-0.17619394151357892,-1.6208836467063557,-2.6781075595043555,-0.2874243620268664,2.415506351563457,1.2866610048449543
14,-0.14,-0.05,0.09,9.94,7.5,-10.44,-9.53,1.32,0.84,0.47,0.39,-0.32,0.73,2158526,2948,W,2.3305576737125016,-2.786177117306843,-0.8218417089061069,2.1353978977640296,-2.0185871372042357,-0.23713710324055928,1.182278653833238,-1.438182408715938,1.0581010224501162,2.790982119019771,1.7259837198581192,-1.8177459749785367,-0.2086735897687978,1.5343688685060626,-0.22544329673688382,-0.4178397800983037,-0.6977480890939157,-3.107231374269096
15,-0.01,0.0,0.03,9.94,7.5,-10.44,-9.53,1.32,0.84,0.47,0.39,-0.32,0.73,2158566,2988,W,1.9434730871288899,0.5613371986405604,1.2534090396485467,1.5405507649106034,1.482406117380405,1.7494499457519466,1.921940370886092,1.7415409205769397,3.079605757273797,2.7895086867897563,-2.5195529718400635,0.719575353649881,-0.2518364639356369,-0.9351805362700812,2.3778913695427537,-0.5538338731430091,2.0816894190099524,-1.3590509168725615
16,-0.07,0.04,0.13,9.94,7.5,-10.44,-9.53,1.32,0.84,0.47,0.39,-0.32,0.73,2158606,3028,W,1.5828779491265177,-2.3246784804049603,-2.8484111579485725,1.1283109108305691,-1.291073206646655,-2.4639009320118825,1.854186102095085,-1.283169943968478,-0.9546780951003911,2.7896561528357737,0.9815881302824923,-2.385285915319224,-0.25585144436647245,-2.823641966052715,0.9854258633314248,-0.6779390635015917,-1.3562931251973085,0.6696831780230108
17,-0.07,0.04,0.13,9.94,7.5,-10.44,-9.53,1.43,0.73,0.47,0.39,-0.32,0.73,2158647,3069,W,1.2463379168893864,1.075174943139916,-0.6324786791798088,0.8593777369506801,2.6862145380882834,0.6268212847549332,1.7527968232099507,1.6797842143796784,1.1932881066337504,2.7977171362010056,-1.9831568671639666,0.027682287032918942,-0.14872627672447436,0.8655721339922174,-2.873241029294022,-0.7765035688752481,1.7304701370123443,2.896044534707436
