,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az,Xgg,Ygg,Zgg,Xaa,Yaa,Zaa
0,0.0,0.01,-0.02,8.69,-108.94,-17.44,-9.16,-3.11,-0.03,-0.71,0.01,0.67,0.24,571106.0,5366.0,W,1.287070811,-1.871445791,2.775360453,2.785152443,2.813852768,1.920760617,0.0,0.0,0.0,0.0,-0.0009523809523809532,0.0
1,0.0,0.01,-0.02,8.69,-108.94,-17.44,-9.16,-3.15,-0.03,-0.71,0.01,0.67,0.24,571148.0,5408.0,W,1.017071676,-2.123708668,2.720523745,2.786677488,2.806925498,1.327100694,0.0007317073170731707,0.0,-0.00024390243902439022,0.0,0.0,0.0
2,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.16,-3.15,-0.03,-0.71,0.01,0.67,0.24,571189.0,5449.0,W,0.732386683,-1.076979904,2.549350369,2.789472891,2.798806143,0.770739767,0.0,0.0,0.0,0.0,-0.0009756097560975618,0.0
3,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.16,-3.19,-0.03,-0.71,0.01,0.67,0.24,571230.0,5490.0,W,0.433617013,-0.211350871,2.304480094,2.793450206,2.792911891,0.243278175,0.0,0.0,0.0,0.0007142857142856991,0.0009523809523809532,0.004523809523809524
4,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.13,-3.15,0.16,-0.71,0.01,0.67,0.24,571272.0,5532.0,W,0.122925149,-0.518569268,2.009411458,2.79775737,2.7912674,-0.263448428,0.0,0.0,0.0,0.0,0.0,-0.0010000000000000002
5,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.13,-3.15,0.12,-0.71,0.01,0.67,0.24,571312.0,5572.0,W,-0.197266388,-0.912883697,1.67519185,2.801140707,2.793844876,-0.752704564,0.0012195121951219512,0.00048780487804878043,0.00048780487804878043,0.0,0.0,0.0
6,0.08,0.03,-0.01,8.69,-108.94,-17.44,-9.13,-3.15,0.12,-0.71,0.01,0.67,0.24,571353.0,5613.0,W,-0.52402601,-1.345084533,1.301635733,2.802222368,2.799446962,-1.218843246,0.0,0.0,0.0,-0.0026190476190476055,0.0,-0.0035714285714285713
7,0.08,0.03,-0.01,8.69,-108.94,-17.44,-9.24,-3.15,-0.03,-0.71,0.01,0.67,0.24,571395.0,5655.0,W,-0.85392681,-1.807742911,0.872901608,2.80009955,2.806472997,-1.649473104,-0.0011904761904761906,-0.0009523809523809524,0.0002380952380952381,0.0,0.0,0.0
8,0.03,-0.01,0.0,8.69,-108.94,-17.44,-9.24,-3.15,-0.03,-0.71,0.01,0.67,0.24,571437.0,5697.0,W,-1.183063212,-2.298389717,0.339740273,2.794996056,2.812868235,-2.018634843,0.0,0.0,0.0,0.0009523809523809744,-0.0009523809523809532,0.0016666666666666668
9,0.03,-0.01,0.0,8.69,-108.94,-17.44,-9.2,-3.19,0.04,-0.71,0.01,0.67,0.24,571479.0,5739.0,W,-1.507819209,-2.842464616,-1.023382826,2.788727626,2.816018625,-2.272723612,0.0,0.0,0.0,-0.0010256410256410493,0.0,-0.0010256410256410256
