,Xg,Yg,Zg,Xgd,Ygd,Zgd,Xa,Ya,Za,Xad,Yad,Zad,Direction,Sensortime,Time,Label
0,-0.01,-0.02,0.01,0,0,0,-7.97,5.31,2.03,0,0,0,0.42,4561945,0,T
1,-0.01,-0.02,0.01,-0.01,0.01,0,-7.97,5.31,2.03,0,0,0,0.42,4561983,38,T
2,0,-0.03,0.01,0,0,0,-7.97,5.31,2.03,-0.04,0,-0.04,0.42,4562022,77,T
3,0,-0.03,0.01,0,0,0,-7.93,5.31,2.07,0.04,0,0.04,0.42,4562061,116,T
4,0,-0.03,0.01,0,0,0,-7.97,5.31,2.03,0,0,0,0.42,4562101,156,T
5,0,-0.03,0.01,0,-0.02,0.01,-7.97,5.31,2.03,0,0,0,0.42,4562139,194,T
6,0,-0.01,0,0,0,0,-7.97,5.31,2.03,0,-0.04,0,0.42,4562179,234,T
7,0,-0.01,0,0,-0.01,-0.01,-7.97,5.35,2.03,0,0,0,0.42,4562219,274,T
8,0,0,0.01,0,0,0,-7.97,5.35,2.03,-0.04,0.04,-0.04,0.42,4562257,312,T
9,0,0,0.01,0,0,0,-7.93,5.31,2.07,0.04,0,0.04,0.42,4562297,352,T
10,0,0,0.01,-0.01,0,0,-7.97,5.31,2.03,0,0,0,0.42,4562335,390,T
11,0.01,0,0.01,0,-0.01,0,-7.97,5.31,2.03,0,0,0,0.42,4562376,431,T
12,0.01,0.01,0.01,0,0,0,-7.97,5.31,2.03,0,-0.04,0,0.42,4562415,470,T
13,0.01,0.01,0.01,0,0,0,-7.97,5.35,2.03,-0.04,0,-0.04,0.42,4562454,509,W
14,0.01,0.01,0.01,0,0,0,-7.93,5.35,2.07,0,0,0.04,0.42,4562492,547,W
15,0.01,0.01,0.01,0,-0.02,0,-7.93,5.35,2.03,0,0,0,0.42,4562529,584,W
16,0.01,0.03,0.01,-0.01,-0.01,0,-7.93,5.35,2.03,0,0,0,0.42,4562569,624,W
17,0.02,0.04,0.01,0,0,0,-7.93,5.35,2.03,0,-0.04,0.04,0.42,4562608,663,W
18,0.02,0.04,0.01,0,0,0,-7.93,5.39,1.99,0,0,0,0.42,4562646,701,W
19,0.02,0.04,0.01,-0.03,-0.02,-0.02,-7.93,5.39,1.99,0,0,0,0.42,4562683,738,W
20,0.05,0.06,0.03,0.14,0.04,0.01,-7.93,5.39,1.99,0,0,0,0.42,4562721,776,W
21,-0.09,0.02,0.02,0,0,0,-7.93,5.39,1.99,-0.08,-0.04,0.11,0.42,4562760,815,W
22,-0.09,0.02,0.02,0,0,0,-7.85,5.43,1.88,0.04,-0.07,0.2,0.42,4562799,854,W
23,-0.09,0.02,0.02,-0.22,-0.39,-0.04,-7.89,5.5,1.68,0,0,0,0.42,4562836,891,W
24,0.13,0.41,0.06,-0.08,0.13,0.08,-7.89,5.5,1.68,0,0,0,0.42,4562877,932,W
25,0.21,0.28,-0.02,0,0,0,-7.89,5.5,1.68,0.08,-0.08,0.34,0.42,4562916,971,W
26,0.21,0.28,-0.02,0,0,0,-7.97,5.58,1.34,-0.04,0.04,-0.07,0.42,4562955,1010,W
27,0.21,0.28,-0.02,0,0,0,-7.93,5.54,1.41,0.15,0.04,0.3,0.42,4562995,1050,W
28,0.21,0.28,-0.02,0.17,0.22,-0.07,-8.08,5.5,1.11,0,0,0,0.42,4563033,1088,W
29,0.04,0.06,0.05,0.04,0.07,-0.06,-8.08,5.5,1.11,0,0,0,0.42,4563072,1127,W
30,0,-0.01,0.11,0,0,0,-8.08,5.5,1.11,-0.11,-0.12,-0.07,0.42,4563109,1164,W
31,0,-0.01,0.11,0,0,0,-7.97,5.62,1.18,-0.04,-0.08,-0.04,0.42,4563149,1204,W
32,0,-0.01,0.11,0.09,0.15,-0.08,-7.93,5.7,1.22,0,0,0,0.42,4563187,1242,W
33,-0.09,-0.16,0.19,-0.07,0.05,-0.09,-7.93,5.7,1.22,0,0,0,0.42,4563227,1282,W
34,-0.02,-0.21,0.28,0,0,0,-7.93,5.7,1.22,-0.11,-0.22,-0.12,0.42,4563267,1322,W
35,-0.02,-0.21,0.28,0,0,0,-7.82,5.92,1.34,-0.12,0,-0.15,0.42,4563307,1362,W
36,-0.02,-0.21,0.28,0,0,0,-7.7,5.92,1.49,0.54,-0.5,0.96,0.42,4563348,1403,W
37,-0.02,-0.21,0.28,0.96,1.86,-0.62,-8.24,6.42,0.53,0,0,0,0.42,4563386,1441,W
38,-0.98,-2.07,0.9,0,0,0,-8.24,6.42,0.53,3.52,-1.19,-3.83,0.42,4563426,1481,W
39,-0.98,-2.07,0.9,0,0,0,-11.76,7.61,4.36,3.14,-2.41,-1.65,0.42,4563466,1521,W
40,-0.98,-2.07,0.9,0,0,0,-14.9,10.02,6.01,-5.55,6.01,4.83,0.42,4563506,1561,W
41,-0.98,-2.07,0.9,0,0,0,-9.35,4.01,1.18,0.19,-1.95,-0.58,0.42,4563547,1602,W
42,-0.98,-2.07,0.9,-1.73,0.6,0.6,-9.54,5.96,1.76,0,0,0,0.42,4563585,1640,W
43,0.75,-2.67,0.3,-0.13,-1.69,0.68,-9.54,5.96,1.76,0,0,0,0.42,4563625,1680,W
44,0.88,-0.98,-0.38,0,0,0,-9.54,5.96,1.76,-4.6,2.37,1.07,0.42,4563664,1719,W
45,0.88,-0.98,-0.38,0,0,0,-4.94,3.59,0.69,-0.3,-0.57,-0.69,0.42,4563703,1758,W
