,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label
52,0.14,-0.54,1.87,9.94,7.5,-10.44,-9.61,2.12,1.57,0.47,0.39,-0.32,0.73,2157649,2071,W
53,0.14,-0.54,1.87,9.94,7.5,-10.44,-13.47,4.42,2.18,0.47,0.39,-0.32,0.73,2157688,2110,W
54,0.14,-0.54,1.87,9.94,7.5,-10.44,-14.2,6.83,1.95,0.47,0.39,-0.32,0.73,2157727,2149,W
55,0.29,-0.39,2.35,9.94,7.5,-10.44,-14.2,6.83,1.95,0.47,0.39,-0.32,0.73,2157768,2190,W
56,0.2,-0.29,-0.78,9.94,7.5,-10.44,-14.2,6.83,1.95,0.47,0.39,-0.32,0.73,2157809,2231,W
57,0.99,0.43,-2.09,9.94,7.5,-10.44,-14.2,6.83,1.95,0.47,0.39,-0.32,0.73,2157849,2271,W
58,0.99,0.43,-2.09,9.94,7.5,-10.44,-8.26,-0.21,0.23,0.47,0.39,-0.32,0.73,2157889,2311,W
59,0.99,0.43,-2.09,9.94,7.5,-10.44,-9.49,1.43,0.23,0.47,0.39,-0.32,0.73,2157928,2350,W
60,0.26,1.03,-2.89,9.94,7.5,-10.44,-9.49,1.43,0.23,0.47,0.39,-0.32,0.73,2157968,2390,W
61,0.28,1.25,-2.79,9.94,7.5,-10.44,-9.49,1.43,0.23,0.47,0.39,-0.32,0.73,2158008,2430,W
62,0.28,1.25,-2.79,9.94,7.5,-10.44,-10.25,5.61,2.87,0.47,0.39,-0.32,0.73,2158047,2469,W
63,0.28,1.25,-2.79,9.94,7.5,-10.44,-12.94,11.36,5.86,0.47,0.39,-0.32,0.73,2158088,2510,W
64,0.28,1.25,-2.79,9.94,7.5,-10.44,3.46,25.41,5.25,0.47,0.39,-0.32,0.73,2158128,2550,W
65,1.04,1.6,0.97,9.94,7.5,-10.44,3.46,25.41,5.25,0.47,0.39,-0.32,0.73,2158168,2590,W
66,1.04,1.6,0.97,9.94,7.5,-10.44,-9.49,1.51,1.3,0.47,0.39,-0.32,0.73,2158208,2630,W
67,0.43,0.45,-0.05,9.94,7.5,-10.44,-9.49,1.51,1.3,0.47,0.39,-0.32,0.73,2158247,2669,W
68,0.43,0.45,-0.05,9.94,7.5,-10.44,-9.53,1.2,0.96,0.47,0.39,-0.32,0.73,2158287,2709,W
69,0.43,0.45,-0.05,9.94,7.5,-10.44,-9.53,1.16,0.69,0.47,0.39,-0.32,0.73,2158325,2747,W
70,-0.08,0.09,0.02,9.94,7.5,-10.44,-9.53,1.16,0.69,0.47,0.39,-0.32,0.73,2158366,2788,W
71,-0.14,-0.05,0.09,9.94,7.5,-10.44,-9.53,1.16,0.69,0.47,0.39,-0.32,0.73,2158406,2828,W
72,-0.14,-0.05,0.09,9.94,7.5,-10.44,-9.53,1.24,0.73,0.47,0.39,-0.32,0.73,2158446,2868,W
73,-0.14,-0.05,0.09,9.94,7.5,-10.44,-9.53,1.28,0.77,0.47,0.39,-0.32,0.73,2158487,2909,W
74,-0.14,-0.05,0.09,9.94,7.5,-10.44,-9.53,1.32,0.84,0.47,0.39,-0.32,0.73,2158526,2948,W
